product_id,company_id,product_name,product_name_aliases,product_description,offering_type,product_url,original_product_launch_date,original_product_launch_date_precision,product_status,product_status_date_assessed,primary_product_source_url,primary_product_source_access_date
prod_intuit_quickbooks_online,org_intuit,QuickBooks Online + Intuit Assist,,"Intuit Assist became available in QuickBooks Online for transaction capture, recordkeeping, invoicing, and financial insight.",software_application,https://investors.intuit.com/news-events/press-releases/detail/1222/intuit-launches-ai-powered-intuit-assist-for-quickbooks-giving-millions-of-businesses-a-competitive-edge,,unknown,active,2026-08-19,https://investors.intuit.com/news-events/press-releases/detail/1222/intuit-launches-ai-powered-intuit-assist-for-quickbooks-giving-millions-of-businesses-a-competitive-edge,2026-08-19
prod_xero_xero_accounting,org_xero,Xero Accounting + JAX,,JAX added generative-AI actions and financial questions inside Xero Accounting.,software_application,https://www.xero.com/uk/media-releases/xero-unveils-breakthrough-tech-behind-jax/,,unknown,active,2026-08-19,https://www.xero.com/uk/media-releases/xero-unveils-breakthrough-tech-behind-jax/,2026-08-19
prod_floqast_accounting_transformation_platform,org_floqast,Accounting Transformation Platform,,"Commercial launch combined journal-entry management, AI transaction matching, consolidation, record-to-report, and connected compliance.",software_application,https://www.floqast.com/press-releases/introducing-the-floqast-accounting-transformation-platform-bringing-ai-power-to-accounting-automation,2024-09-25,exact,active,2026-08-19,https://www.floqast.com/press-releases/introducing-the-floqast-accounting-transformation-platform-bringing-ai-power-to-accounting-automation,2026-08-19
prod_mindbridge_ai_platform,org_mindbridge,MindBridge AI Platform,,"Added Payroll, Company Card, Vendor, and Revenue risk products to the existing General Ledger platform.",software_application,https://www.mindbridge.ai/news/mindbridge-expands-financial-risk-discovery-platform/,,unknown,active,2026-08-19,https://www.mindbridge.ai/news/mindbridge-expands-financial-risk-discovery-platform/,2026-08-19
prod_blackline_journals_risk_analyser,org_blackline,Journals Risk Analyser,,Early-adoption launch of AI analysis for journal-entry populations and risk.,software_module,https://www.blackline.com/about/press-releases/2024/blackline-announces-ai-powered-innovation-for-analyzing-journal-entries/,2024-04-11,exact,active,2026-08-19,https://www.blackline.com/about/press-releases/2024/blackline-announces-ai-powered-innovation-for-analyzing-journal-entries/,2026-08-19
prod_workiva_platform,org_workiva,Workiva Platform + Generative AI,,Generative AI became available within the Workiva platform for reporting and GRC documentation.,software_application,https://investor.workiva.com/news-releases/news-release-details/workiva-strengthens-its-platform-leadership-integration,,unknown,active,2026-08-19,https://investor.workiva.com/news-releases/news-release-details/workiva-strengthens-its-platform-leadership-integration,2026-08-19
prod_caseware_aida,org_caseware,AiDA in Caseware Cloud,,"Early-access digital assistant for audit methodology, evidence processing, workpapers, and deliverables.",software_module,https://www.caseware.com/news/caseware-introduces-ai-powered-digital-assistant-aida,2024-05-28,exact,active,2026-08-19,https://www.caseware.com/news/caseware-introduces-ai-powered-digital-assistant-aida,2026-08-19
prod_datasnipper_documine,org_datasnipper,DocuMine,,General availability of a GenAI product for complex audit-document evidence.,software_application,https://www.datasnipper.com/resources/documine-now-available-globally---datasnippers-most-advanced-genai-product-yet,2025-03-31,exact,active,2026-08-19,https://www.datasnipper.com/resources/documine-now-available-globally---datasnippers-most-advanced-genai-product-yet,2026-08-19
prod_vena_copilot_fpa,org_vena,Copilot for FP&A,,Beta launch of an FP&A-specific assistant on Vena Complete Planning.,software_module,https://www.venasolutions.com/newsroom/vena-introduces-vena-copilot-a-complete-planning-ai-assistant-purpose-built-for-fpa-teams,2024-04-03,exact,active,2026-08-19,https://www.venasolutions.com/newsroom/vena-introduces-vena-copilot-a-complete-planning-ai-assistant-purpose-built-for-fpa-teams,2026-08-19
prod_sage_intacct,org_sage,Sage Intacct + Sage Copilot,,Early-adopter release of Copilot capabilities in Sage Intacct.,software_application,https://www.sage.com/en-us/news/press-releases/2024/12/sage-intacct-supports-smb-growth-with-new-enhancements-and-capabilities/,,unknown,active,2026-08-19,https://www.sage.com/en-us/news/press-releases/2024/12/sage-intacct-supports-smb-growth-with-new-enhancements-and-capabilities/,2026-08-19
prod_tr_onesource_indirect_tax,org_thomson_reuters,ONESOURCE Indirect Tax + CoCounsel,,CoCounsel integration added source-grounded indirect-tax product support.,software_application,https://www.thomsonreuters.com/en/press-releases/2024/october/thomson-reuters-unveils-cocounsel-integration-in-onesource-corporate-tax-solutions,,unknown,active,2026-08-19,https://www.thomsonreuters.com/en/press-releases/2024/october/thomson-reuters-unveils-cocounsel-integration-in-onesource-corporate-tax-solutions,2026-08-19
prod_avalara_tax_research,org_avalara,Avalara Tax Research + Avi,,Avi became available to subscribers inside Avalara Tax Research.,software_application,https://newsroom.avalara.com/2025-07-09-Avalara-Embeds-AI-Powered-Assistant-into-Avalara-Tax-Research,,unknown,active,2026-08-19,https://newsroom.avalara.com/2025-07-09-Avalara-Embeds-AI-Powered-Assistant-into-Avalara-Tax-Research,2026-08-19
prod_radai_omni_reporting,org_rad_ai,Rad AI Omni Reporting,,Launch of AI-assisted radiology reporting already in use by named customers.,software_application,https://www.radai.com/news/rad-ai-to-unveil-next-generation-intelligent-radiology-reporting-solution-at-launch-event,2023-08-22,exact,active,2026-08-19,https://www.radai.com/news/rad-ai-to-unveil-next-generation-intelligent-radiology-reporting-solution-at-launch-event,2026-08-19
prod_gehc_sonic_dl,org_ge_healthcare,Sonic DL,,FDA-cleared deep-learning acceleration for cardiac MRI acquisition.,medical_device,https://investor.gehealthcare.com/news-releases/news-release-details/ge-healthcare-introduces-sonic-dl-groundbreaking-fda-cleared-ai,2023-06-05,exact,active,2026-08-19,https://investor.gehealthcare.com/news-releases/news-release-details/ge-healthcare-introduces-sonic-dl-groundbreaking-fda-cleared-ai,2026-08-19
