company_id,company_name,company_name_aliases,parent_company_id,company_description,company_website_url,company_founded_date,company_founded_date_precision,headquarters_country_code,headquarters_subdivision_code,company_status,company_status_date_assessed,company_source_url,company_source_access_date,catalog_status,catalog_source_count,catalog_source_files
3e,3E,,,3E is the provider of one or more verified first-wave AI products in this professional-occupations discovery batch.,https://www.3eco.com/,,unknown,US,,active,2026-08-19,https://www.3eco.com/article/3e-ai-platform-product-compliance/,2026-08-19,live_calibration,1,research_staging/live_snapshot_20260820/company_general_info.csv
abridge_ai,"Abridge AI, Inc.",,,Clinical AI company offering ambient documentation products for health systems.,https://www.abridge.com/,,unknown,,,active,2026-08-20,https://www.abridge.com/,2026-08-20,live_calibration,1,research_staging/live_snapshot_20260820/company_general_info.csv
9spokes,9Spokes,,,"Provider or maintainer of 9Spokes, included in the accounting-product discovery census.",https://9spokes.com/,,unknown,,,active,2026-08-20,https://9spokes.com/,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/saturation_v0_4/company_general_info_delta_v0_4.csv
abacum,Abacum,,,"Provider or maintainer of Abacum, included in the accounting-product discovery census.",https://www.abacum.ai/,,unknown,,,active,2026-08-20,https://www.abacum.ai/,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/import_staging_v0_3/company_general_info_staging_v0_3.csv
abacus,Abacus,,,"Provider or maintainer of Abacus, included in the accounting-product discovery census.",https://www.getabacus.com/,,unknown,,,active,2026-08-20,https://www.getabacus.com/,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/import_staging_v0_3/company_general_info_staging_v0_3.csv
accordance,Accordance,,,"Provider or maintainer of Accordance, included in the accounting-product discovery census.",https://try.accordance.com/,,unknown,,,active,2026-08-20,https://try.accordance.com/,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/import_staging_v0_3/company_general_info_staging_v0_3.csv
acterys,Acterys,,,"Provider or maintainer of Acterys FP&A with Copilot, included in the accounting-product discovery census.",https://acterys.com/products/acterys-copilot-for-fpa/,,unknown,,,active,2026-08-20,https://acterys.com/products/acterys-copilot-for-fpa/,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/import_staging_v0_3/company_general_info_staging_v0_3.csv
ademero,Ademero,,,"Provider or maintainer of AP Central, included in the accounting-product discovery census.",https://www.ademero.com/products/ap-central,,unknown,,,active,2026-08-20,https://www.ademero.com/products/ap-central,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/import_staging_v0_3/company_general_info_staging_v0_3.csv
agent_ap,Agent AP,,,"Provider or maintainer of Agent AP, included in the accounting-product discovery census.",https://www.agent-ap.com/,,unknown,,,active,2026-08-20,https://www.agent-ap.com/,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/import_staging_v0_3/company_general_info_staging_v0_3.csv
agicap,Agicap,,,"Provider or maintainer of Agicap, included in the accounting-product discovery census.",https://agicap.com/en-us/,,unknown,,,active,2026-08-20,https://agicap.com/en-us/,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/import_staging_v0_3/company_general_info_staging_v0_3.csv
aider_advisory_intelligence_portal,Aider Advisory Intelligence Portal,,,"Provider or maintainer of Aider Advisory Intelligence Portal, included in the accounting-product discovery census.",https://apps.xero.com/us/app/aider-advisory-intelligence-portal,,unknown,,,active,2026-08-20,https://apps.xero.com/us/app/aider-advisory-intelligence-portal,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/import_staging_v0_3/company_general_info_staging_v0_3.csv
