product_design_evidence_id,product_task_assessment_id,aida_stage,evidence_role,product_configuration_documented,product_design_evidence_type,product_design_evidence_url,source_publication_date,source_access_date,evidence_summary,supported_product_autonomy_rating,documented_human_gate,evidence_strength,source_conflict_flag,supports_final_rating,reviewer_id,review_date
pde_pta_intuit_quickbooks_online_acc01_map,pta_intuit_quickbooks_online_acc01,not_stage_specific,task_mapping,QuickBooks Online + Intuit Assist,release_notes,https://investors.intuit.com/news-events/press-releases/detail/1222/intuit-launches-ai-powered-intuit-assist-for-quickbooks-giving-millions-of-businesses-a-competitive-edge,2024-11-20,2026-08-19,"Generates estimates, invoices, bills, and reminders; extracts receipts; categorizes and matches transactions.",,unclear,P2_official_workflow_evidence,FALSE,FALSE,codex_assisted_first_wave,2026-08-19
pde_pta_intuit_quickbooks_online_acc03_map,pta_intuit_quickbooks_online_acc03,not_stage_specific,task_mapping,QuickBooks Online + Intuit Assist,release_notes,https://investors.intuit.com/news-events/press-releases/detail/1222/intuit-launches-ai-powered-intuit-assist-for-quickbooks-giving-millions-of-businesses-a-competitive-edge,2024-11-20,2026-08-19,Flags cash-flow shortages and suggests actions using QuickBooks business data.,,unclear,P2_official_workflow_evidence,FALSE,FALSE,codex_assisted_first_wave,2026-08-19
pde_pta_xero_xero_accounting_acc01_map,pta_xero_xero_accounting_acc01,not_stage_specific,task_mapping,Xero Accounting + JAX,release_notes,https://www.xero.com/uk/media-releases/xero-unveils-breakthrough-tech-behind-jax/,2024-08,2026-08-19,Creates and edits invoices and quotes inside Xero.,,unclear,P2_official_workflow_evidence,FALSE,FALSE,codex_assisted_first_wave,2026-08-19
pde_pta_xero_xero_accounting_acc03_map,pta_xero_xero_accounting_acc03,not_stage_specific,task_mapping,Xero Accounting + JAX,release_notes,https://www.xero.com/uk/media-releases/xero-unveils-breakthrough-tech-behind-jax/,2024-08,2026-08-19,Answers financial questions and surfaces cash-flow insight for decisions.,,unclear,P2_official_workflow_evidence,FALSE,FALSE,codex_assisted_first_wave,2026-08-19
pde_pta_floqast_accounting_transformation_platform_acc01_map,pta_floqast_accounting_transformation_platform_acc01,not_stage_specific,task_mapping,Accounting Transformation Platform,release_notes,https://www.floqast.com/press-releases/introducing-the-floqast-accounting-transformation-platform-bringing-ai-power-to-accounting-automation,2024-09-25,2026-08-19,"Journal entries, AI transaction matching, consolidation, and record-to-report workflows.",,unclear,P2_official_workflow_evidence,FALSE,FALSE,codex_assisted_first_wave,2026-08-19
pde_pta_floqast_accounting_transformation_platform_acc02_map,pta_floqast_accounting_transformation_platform_acc02,not_stage_specific,task_mapping,Accounting Transformation Platform,release_notes,https://www.floqast.com/press-releases/introducing-the-floqast-accounting-transformation-platform-bringing-ai-power-to-accounting-automation,2024-09-25,2026-08-19,Connected-compliance and audit-readiness workflow support.,,unclear,P2_official_workflow_evidence,FALSE,FALSE,codex_assisted_first_wave,2026-08-19
pde_pta_mindbridge_ai_platform_acc02_map,pta_mindbridge_ai_platform_acc02,not_stage_specific,task_mapping,MindBridge AI Platform,release_notes,https://www.mindbridge.ai/news/mindbridge-expands-financial-risk-discovery-platform/,2023-09-27,2026-08-19,"Full-population transaction-risk scoring, anomaly detection, and automated control tests for assurance work.",,unclear,P2_official_workflow_evidence,FALSE,FALSE,codex_assisted_first_wave,2026-08-19
pde_pta_blackline_journals_risk_analyser_acc02_map,pta_blackline_journals_risk_analyser_acc02,not_stage_specific,task_mapping,Journals Risk Analyser,release_notes,https://www.blackline.com/about/press-releases/2024/blackline-announces-ai-powered-innovation-for-analyzing-journal-entries/,2024-04-11,2026-08-19,"Evaluates journal populations, detects anomalies, and identifies fraud and compliance risk.",,unclear,P2_official_workflow_evidence,FALSE,FALSE,codex_assisted_first_wave,2026-08-19
pde_pta_workiva_platform_acc01_map,pta_workiva_platform_acc01,not_stage_specific,task_mapping,Workiva Platform + Generative AI,release_notes,https://investor.workiva.com/news-releases/news-release-details/workiva-strengthens-its-platform-leadership-integration,2023-08-01,2026-08-19,"Authors, edits, and rewrites financial-reporting content in a controlled reporting platform.",,unclear,P2_official_workflow_evidence,FALSE,FALSE,codex_assisted_first_wave,2026-08-19
pde_pta_workiva_platform_acc02_map,pta_workiva_platform_acc02,not_stage_specific,task_mapping,Workiva Platform + Generative AI,release_notes,https://investor.workiva.com/news-releases/news-release-details/workiva-strengthens-its-platform-leadership-integration,2023-08-01,2026-08-19,Supports audit-ready GRC documentation but not an end-to-end audit engagement.,,unclear,P2_official_workflow_evidence,FALSE,FALSE,codex_assisted_first_wave,2026-08-19
