occupation_soc_code,occupation_name,canonical_task_set_version,canonical_task_id,canonical_task_name,task_scope_version,acquire_scope,interpret_scope,decide_scope,act_scope,capability_date_assessed,acquire_ai_capability,interpret_ai_capability,decide_ai_capability,act_ai_capability,capability_rating_rationale,protocol_version,capability_assessment_status
13-2011.00,Accountants and Auditors,pilot-1.0,ACC-01,"Maintain accounting records, systems, and financial reports",scope-pilot-1.0,"Obtain transaction records, account balances, supporting documents, prior-period information, accounting policies, and applicable reporting requirements.","Classify financial events, reconcile related records, identify missing or inconsistent information, and apply applicable accounting and reporting standards.","Determine account assignments, adjustments, recognition and measurement treatments, discrepancy resolutions, and whether records and reports are accurate, complete, and conforming.","Record and classify transactions, post adjustments, resolve discrepancies, maintain and close the accounts, and prepare and issue financial statements and reports.",2026-08-19,2,2,3,2,"Acquire 2: EVID-v06-ACC-01-FINCH-ACQ; Interpret 2: EVID-v06-ACC-01-FINBALANCE-INT; Decide 3: EVID-v06-ACC-01-BARDELLI-DEC; Act 2: EVID-v06-ACC-01-FINBALANCE-ACT. Stagewise frontier; systems may differ. Full configurations, performance, and boundaries are in OccupationTask_CapabilityEvidence.",0.6,pilot_v0_6_frozen
13-2011.00,Accountants and Auditors,pilot-1.0,ACC-02,Conduct and report audit or assurance engagements,scope-pilot-1.0,"Obtain engagement criteria, financial records, transaction evidence, system and control documentation, applicable requirements, interviews, and observations needed for the examination.","Evaluate the relevance and sufficiency of evidence, compare records, controls, systems, and operations with governing criteria, and assess errors, deficiencies, fraud indicators, noncompliance, and ineffectiveness.","Set or adjust engagement scope and procedures, determine the significance of identified matters, reach supportable assurance conclusions, and formulate appropriate recommendations.","Perform and direct examination procedures, document the work and conclusions, and report findings and recommendations to responsible parties.",2026-08-19,2,2,2,2,"Acquire 2: EVID-v06-ACC-02-MINDBRIDGE-ACQ; Interpret 2: EVID-v06-ACC-02-AUDITBENCH-INT; Decide 2: EVID-v06-ACC-02-AUDITBENCH-DEC; Act 2: EVID-v06-ACC-02-AUDITBENCH-ACT. Stagewise frontier; systems may differ. Full configurations, performance, and boundaries are in OccupationTask_CapabilityEvidence.",0.6,pilot_v0_6_frozen
13-2011.00,Accountants and Auditors,pilot-1.0,ACC-03,"Provide financial planning, analysis, and decision support",scope-pilot-1.0,"Obtain historical financial results, operating data, commitments, objectives, constraints, assumptions, and other inputs relevant to planning or advice.","Analyze financial condition, operating trends, cost and revenue drivers, variances, obligations, and the implications of alternative assumptions or scenarios.","Select defensible planning assumptions, determine budgets and forecasts, evaluate alternatives, and formulate financial assessments or recommendations.","Prepare budgets, forecasts, analyses, and management reports, and communicate decision-useful financial advice to management or clients.",2026-08-19,2,2,2,2,"Acquire 2: EVID-v06-ACC-03-FINCH-ACQ; Interpret 2: EVID-v06-ACC-03-FINCH-INT; Decide 2: EVID-v06-ACC-03-FINCH-DEC; Act 2: EVID-v06-ACC-03-FINCH-ACT. Stagewise frontier; systems may differ. Full configurations, performance, and boundaries are in OccupationTask_CapabilityEvidence.",0.6,pilot_v0_6_frozen
13-2011.00,Accountants and Auditors,pilot-1.0,ACC-04,Determine and document tax liabilities and filings,scope-pilot-1.0,"Obtain taxpayer identity and filing status, income and transaction records, deductions, credits, asset basis, prior filings, supporting documents, and applicable tax requirements.","Classify tax-relevant events, reconcile supporting records, apply governing tax rules, and identify missing information, uncertain treatment, eligibility, basis, and reporting implications.","Determine taxable amounts and liabilities, elections and treatments, filing positions, required forms and disclosures, payment obligations, and matters requiring escalation.","Prepare and complete compliant tax returns, schedules, supporting documentation, and related reporting or payment instructions.",2026-08-19,2,4,4,2,"Acquire 2: EVID-v06-ACC-04-JUNO-ACQ; Interpret 4: EVID-v06-ACC-04-OPENTAX-INT; Decide 4: EVID-v06-ACC-04-OPENTAX-DEC; Act 2: EVID-v06-ACC-04-REALMTAX-ACT. Stagewise frontier; systems may differ. Full configurations, performance, and boundaries are in OccupationTask_CapabilityEvidence.",0.6,pilot_v0_6_frozen
15-1252.00,Software Developers,pilot-1.0,SWD-01,Deliver and sustain a software system or change,scope-pilot-1.0,"Obtain user and organizational needs, functional and nonfunctional requirements, code and architecture, interfaces and data, runtime and operational information, and performance, security, cost, schedule, and technical constraints.","Analyze requirements and feasibility, trace existing system behavior, reconcile competing needs, diagnose defects or incidents, and assess dependency, compatibility, performance, security, deployment, and maintenance implications.","Specify requirements and acceptance criteria; select architecture, interfaces, implementation, testing, deployment, rollback, monitoring, and maintenance approaches; and prioritize changes and responses.","Design, implement, modify, integrate, test, validate, document, deploy, monitor, troubleshoot, maintain, and support the software system or change, including necessary technical and user handoffs.",2026-08-19,4,4,4,4,"Acquire 4: EVID-v06-SWD-01-CODEX-ACQ; Interpret 4: EVID-v06-SWD-01-CODEX-INT; Decide 4: EVID-v06-SWD-01-CODEX-DEC; Act 4: EVID-v06-SWD-01-CODEX-ACT. Stagewise frontier; systems may differ. Full configurations, performance, and boundaries are in OccupationTask_CapabilityEvidence.",0.6,pilot_v0_6_frozen
29-1224.00,Radiologists,pilot-1.0,RAD-01,Evaluate patients through diagnostic imaging and communicate findings,scope-pilot-1.0,"Obtain the clinical question, patient history, current and prior examinations, acquisition details, image-quality information, and other case context needed across the diagnostic modalities in scope.","Assess whether images are diagnostically adequate and relate them to the history, clinical question, and prior studies to identify findings, limitations, and an image-based diagnosis.","Select or approve any additional techniques, positions, projections, or examinations needed; determine the final assessment, urgency, follow-up, and necessary clinical coordination or communication.","Complete or direct the diagnostically adequate examination, finalize the interpretive report, and communicate or coordinate the result with the clinicians, patients, or families who use it.",2026-08-19,4,4,4,4,"Acquire 4: EVID-v06-RAD-01-ULTRABOT-ACQ; Interpret 4: EVID-v06-RAD-01-CHESTLINK-INT; Decide 4: EVID-v06-RAD-01-CHESTLINK-DEC; Act 4: EVID-v06-RAD-01-CHESTLINK-ACT. Stagewise frontier; systems may differ. Full configurations, performance, and boundaries are in OccupationTask_CapabilityEvidence.",0.6,pilot_v0_6_frozen
29-1224.00,Radiologists,pilot-1.0,RAD-02,Plan and perform image-guided procedures and manage procedural care,scope-pilot-1.0,"Obtain the procedure request, patient history and consent-related information, relevant imaging and tests, planned target, medications and risk factors, equipment status, and live peri-procedural patient observations.","Assess the indication, anatomy, access path, treatment target, patient readiness, procedural risks, live image guidance, physiologic changes, complications, and the procedure’s result.","Choose the treatment plan, procedural approach, equipment and materials, sequence and maneuvers, safety precautions, and whether to proceed, modify, pause, stop, treat a complication, or escalate.","Explain the process, risks, benefits, and alternatives; perform the image-guided diagnostic or therapeutic procedure; manage peri-procedural safety and complications; and document the procedure and outcome.",2026-08-19,2,2,2,2,"Acquire 2: EVID-v06-RAD-02-KUNTZ-ACQ; Interpret 2: EVID-v06-RAD-02-KUNTZ-INT; Decide 2: EVID-v06-RAD-02-KUNTZ-DEC; Act 2: EVID-v06-RAD-02-KUNTZ-ACT. Stagewise frontier; systems may differ. Full configurations, performance, and boundaries are in OccupationTask_CapabilityEvidence.",0.6,pilot_v0_6_frozen
29-1224.00,Radiologists,pilot-1.0,RAD-03,Plan and deliver nuclear medicine diagnosis or therapy,scope-pilot-1.0,"Obtain the procedure request, patient history, clinical indication, relevant studies and tests, radionuclide options and availability, patient-specific dose inputs, instrument checks and readings, material-handling conditions, and patient status.","Assess appropriateness relative to alternatives; determine diagnostic or therapeutic requirements, dose and technical implications, radioactive-material and instrument readiness, risks, and expected limitations.","Select the nuclear medicine application, radionuclide, dosage, technique, positions and projections, technical directions, and any adjustment, delay, cancellation, or escalation.","Prescribe, calculate, measure, and prepare the selected dosage; verify material and dosage-instrument readiness; direct technical execution; administer the radioisotope; and advise clinicians about indications, assessments, risks, and limitations.",2026-08-19,0,2,2,1,"Acquire 0: EVID-v06-RAD-03-GEORGIOU-ACQ; Interpret 2: EVID-v06-RAD-03-SIMPLEDOSE-INT; Decide 2: EVID-v06-RAD-03-POPOVIC-DEC; Act 1: EVID-v06-RAD-03-GEORGIOU-ACT. Stagewise frontier; systems may differ. Full configurations, performance, and boundaries are in OccupationTask_CapabilityEvidence.",0.6,pilot_v0_6_frozen
47-2031.00,Carpenters,pilot-1.0,CAN-47-2031-01,Plan and coordinate project work,scope-pilot-1.0,"Obtain client or employer requirements, plans and specifications, site measurements and conditions, material availability and prices, crew and trade availability, schedule constraints, and current job progress.","Translate the requirements and site evidence into layouts, dimensions, quantities, material and labor needs, cost implications, trade dependencies, schedule constraints, and progress deviations.","Choose the project layout, materials and quantities, estimate assumptions, purchasing, subcontracting, crew schedule, work sequence, and responses to progress or coordination issues.","Prepare layouts and cost estimates, order materials, arrange subcontractors, schedule crews, and create, maintain, and present the job records and progress reports needed for field work.",2026-08-19,2,4,4,4,"Acquire 2: EVID-v06-CAN-01-MCPBIM-ACQ; Interpret 4: EVID-v06-CAN-01-MCPBIM-INT; Decide 4: EVID-v06-CAN-01-VASDQN-DEC; Act 4: EVID-v06-CAN-01-MCPBIM-ACT. Stagewise frontier; systems may differ. Full configurations, performance, and boundaries are in OccupationTask_CapabilityEvidence.",0.6,pilot_v0_6_frozen
47-2031.00,Carpenters,pilot-1.0,CAN-47-2031-02,"Construct, install, and restore permanent components",scope-pilot-1.0,"Obtain drawings and specifications, workface dimensions and reference points, material identity and condition, existing-component damage or decay, tool and equipment condition, tolerances, hazards, and applicable safety controls.","Translate plans and site conditions into fabrication and installation requirements; assess fit, alignment, trueness, damage, decay, material suitability, hazards, and completed-work quality.","Choose dimensions and reference lines, materials, cuts, joints, fasteners, tools, work sequence, repair-versus-replacement treatment, alignment corrections, and safety or hazardous-material controls.","Measure and mark; cut, shape, drill, fabricate, assemble, install, align, and verify permanent components; remove, repair, or replace defective work; and implement required safety, housekeeping, and hazard controls.",2026-08-19,2,4,4,4,"Acquire 2: EVID-v06-CAN-02-AALTO-ACQ; Interpret 4: EVID-v06-CAN-02-LITAS-INT; Decide 4: EVID-v06-CAN-02-LITAS-DEC; Act 4: EVID-v06-CAN-02-LITAS-ACT. Stagewise frontier; systems may differ. Full configurations, performance, and boundaries are in OccupationTask_CapabilityEvidence.",0.6,pilot_v0_6_frozen
47-2031.00,Carpenters,pilot-1.0,CAN-47-2031-03,Build temporary structures and site supports,scope-pilot-1.0,"Obtain support or access requirements, plans and dimensions, site and ground conditions, load and positioning needs, available materials and tools, adjacent trade interfaces, crew resources, and hazards.","Determine the required location, geometry, capacity, stability, access, bracing, foundation or site-interface conditions, and conflicts affecting temporary supports or enabling structures.","Choose the support type and layout, materials, fasteners, anchors, braces, construction sequence, pole or excavation placement, needed adjacent-trade work, and crew directions.","Fabricate, erect, position, anchor, and brace scaffolds, ladders, frameworks, props, forms, chutes, and poles; dig required holes; and complete necessary minor plumbing, welding, or concrete work.",2026-08-19,2,4,4,2,"Acquire 2: EVID-v06-CAN-03-SCAFFPLAN-ACQ; Interpret 4: EVID-v06-CAN-03-SCAFFPLAN-INT; Decide 4: EVID-v06-CAN-03-SCAFFPLAN-DEC; Act 2: EVID-v06-CAN-03-LEUNG-ACT. Stagewise frontier; systems may differ. Full configurations, performance, and boundaries are in OccupationTask_CapabilityEvidence.",0.6,pilot_v0_6_frozen
