source_task_key,task_id,occupation_soc_code,occupation_name,occupational_task,home_canonical_task_id,secondary_canonical_task_id,mapping_role,basis,review_decision,reviewer_notes
21510,21510,13-2011.00,Accountants and Auditors,Confer with company officials about financial and regulatory matters.,ACC-02,ACC-03,secondary_candidate,"Within this audit-heavy source cluster, conferring with officials supplies and communicates financial or regulatory context for the engagement, but the wording can also describe general advisory work.",Accept,
21511,21511,13-2011.00,Accountants and Auditors,"Examine and evaluate financial and information systems, recommending controls to ensure system reliability and data integrity.",ACC-02,ACC-01,secondary_candidate,"Evaluating systems and recommending reliability and data-integrity controls is an information-systems or controls-assurance variant, not ownership of system implementation.",Accept,
21516,21516,13-2011.00,Accountants and Auditors,Review accounts for discrepancies and reconcile differences.,ACC-01,ACC-02,secondary_candidate,Reconciliation resolves discrepancies so account balances can be maintained accurately; the audit-related DWA makes assurance use plausible as well.,Accept,
21520,21520,13-2011.00,Accountants and Auditors,Report to management regarding the finances of establishment.,ACC-03,ACC-01,secondary_candidate,Reporting establishment finances to management makes financial information usable for internal decisions; generic financial-statement issuance would instead fall under ACC-01.,Accept,
21523,21523,13-2011.00,Accountants and Auditors,"Examine whether the organization's objectives are reflected in its management activities, and whether employees understand the objectives.",ACC-02,ACC-03,secondary_candidate,"Testing whether management activity and employee understanding align with organizational objectives is an operational or performance-audit variant, although its DWA also resembles organizational consulting.",Accept,
21524,21524,13-2011.00,Accountants and Auditors,"Audit payroll and personnel records to determine unemployment insurance premiums, workers' compensation coverage, liabilities, and compliance with tax laws.",ACC-02,ACC-04,secondary_candidate,The explicit audit of payroll and personnel records produces an assurance and compliance determination; tax and insurance subject matter do not change that responsibility.,Accept,
21525,21525,13-2011.00,Accountants and Auditors,"Review taxpayer accounts, and conduct audits on-site, by correspondence, or by summoning taxpayer to office.",ACC-02,ACC-04,secondary_candidate,Authority-side examination of taxpayer accounts is assigned to audit and assurance because the stated occupational outcome is an audit finding; tax subject matter remains a structured secondary link to ACC-04.,Accept,
21527,21527,13-2011.00,Accountants and Auditors,"Advise clients in areas such as compensation, employee health care benefits, the design of accounting or data processing systems, or long-range tax or estate plans.",ACC-03,ACC-01,secondary_candidate,"The statement's common outcome is client advice for long-range organizational or financial choices, but it combines compensation, benefits, systems, tax, and estate domains that cannot be split under one-to-one mapping.",Accept,
21527,21527,13-2011.00,Accountants and Auditors,"Advise clients in areas such as compensation, employee health care benefits, the design of accounting or data processing systems, or long-range tax or estate plans.",ACC-03,ACC-04,secondary_candidate,"The statement's common outcome is client advice for long-range organizational or financial choices, but it combines compensation, benefits, systems, tax, and estate domains that cannot be split under one-to-one mapping.",Accept,
21534,21534,13-2011.00,Accountants and Auditors,"Review data about material assets, net worth, liabilities, capital stock, surplus, income, or expenditures.",ACC-01,ACC-03,secondary_candidate,"Reviewing assets, liabilities, equity, income, and expenditure data supports accurate period-end records and statements, but the same data can also support management analysis.",Accept,
17235,17235,29-1224.00,Radiologists,Develop treatment plans for radiology patients.,RAD-02,RAD-03,secondary_candidate,"Developing treatment plans is distinct from routine image-based diagnosis and most naturally supports interventional or procedural radiologic care, but the generic wording can also include therapeutic nuclear medicine.",Accept,
17248,17248,29-1224.00,Radiologists,"Document the performance, interpretation, or outcomes of all procedures performed.",RAD-02,RAD-01,secondary_candidate,"Documenting the performance and outcome of procedures is integral to procedural care, but 'all procedures performed' can encompass non-interventional and nuclear medicine procedures as well.",Accept,
