product_ai_release_id,product_id,provider_company_id_at_event,release_name_or_version,qualifying_ai_event_type,qualifying_ai_event_date,event_date_precision,availability_stage,availability_jurisdiction_code,ai_feature_summary,event_evidence_url,event_evidence_access_date,eligibility_status,eligibility_rationale,protocol_version
rel_intuit_quickbooks_online_20241120,prod_intuit_quickbooks_online,org_intuit,QuickBooks Online + Intuit Assist,material_ai_enablement,2024-11-20,exact,general_availability,US,"Intuit Assist became available in QuickBooks Online for transaction capture, recordkeeping, invoicing, and financial insight.",https://investors.intuit.com/news-events/press-releases/detail/1222/intuit-launches-ai-powered-intuit-assist-for-quickbooks-giving-millions-of-businesses-a-competitive-edge,2026-08-19,eligible,Verified first-wave qualifying event and external availability; not a completeness claim.,0.1
rel_xero_xero_accounting_202408,prod_xero_xero_accounting,org_xero,Xero Accounting + JAX,material_ai_enablement,2024-08,month,private_beta,UNSPECIFIED,JAX added generative-AI actions and financial questions inside Xero Accounting.,https://www.xero.com/uk/media-releases/xero-unveils-breakthrough-tech-behind-jax/,2026-08-19,eligible,Verified first-wave qualifying event and external availability; not a completeness claim.,0.1
rel_floqast_accounting_transformation_platform_20240925,prod_floqast_accounting_transformation_platform,org_floqast,Accounting Transformation Platform,initial_external_release,2024-09-25,exact,general_availability,UNSPECIFIED,"Commercial launch combined journal-entry management, AI transaction matching, consolidation, record-to-report, and connected compliance.",https://www.floqast.com/press-releases/introducing-the-floqast-accounting-transformation-platform-bringing-ai-power-to-accounting-automation,2026-08-19,eligible,Verified first-wave qualifying event and external availability; not a completeness claim.,0.1
rel_mindbridge_ai_platform_20230927,prod_mindbridge_ai_platform,org_mindbridge,MindBridge AI Platform,material_task_scope_expansion,2023-09-27,exact,general_availability,UNSPECIFIED,"Added Payroll, Company Card, Vendor, and Revenue risk products to the existing General Ledger platform.",https://www.mindbridge.ai/news/mindbridge-expands-financial-risk-discovery-platform/,2026-08-19,eligible,Verified first-wave qualifying event and external availability; not a completeness claim.,0.1
rel_blackline_journals_risk_analyser_20240411,prod_blackline_journals_risk_analyser,org_blackline,Journals Risk Analyser,initial_external_release,2024-04-11,exact,limited_customer_release,UNSPECIFIED,Early-adoption launch of AI analysis for journal-entry populations and risk.,https://www.blackline.com/about/press-releases/2024/blackline-announces-ai-powered-innovation-for-analyzing-journal-entries/,2026-08-19,eligible,Verified first-wave qualifying event and external availability; not a completeness claim.,0.1
rel_workiva_platform_20230801,prod_workiva_platform,org_workiva,Workiva Platform + Generative AI,material_ai_enablement,2023-08-01,exact,general_availability,UNSPECIFIED,Generative AI became available within the Workiva platform for reporting and GRC documentation.,https://investor.workiva.com/news-releases/news-release-details/workiva-strengthens-its-platform-leadership-integration,2026-08-19,eligible,Verified first-wave qualifying event and external availability; not a completeness claim.,0.1
rel_caseware_aida_20240528,prod_caseware_aida,org_caseware,AiDA in Caseware Cloud,initial_external_release,2024-05-28,exact,limited_customer_release,US,"Early-access digital assistant for audit methodology, evidence processing, workpapers, and deliverables.",https://www.caseware.com/news/caseware-introduces-ai-powered-digital-assistant-aida,2026-08-19,eligible,Verified first-wave qualifying event and external availability; not a completeness claim.,0.1
rel_datasnipper_documine_20250331,prod_datasnipper_documine,org_datasnipper,DocuMine,initial_external_release,2025-03-31,exact,general_availability,GLOBAL,General availability of a GenAI product for complex audit-document evidence.,https://www.datasnipper.com/resources/documine-now-available-globally---datasnippers-most-advanced-genai-product-yet,2026-08-19,eligible,Verified first-wave qualifying event and external availability; not a completeness claim.,0.1
rel_vena_copilot_fpa_20240403,prod_vena_copilot_fpa,org_vena,Copilot for FP&A,initial_external_release,2024-04-03,exact,private_beta,UNSPECIFIED,Beta launch of an FP&A-specific assistant on Vena Complete Planning.,https://www.venasolutions.com/newsroom/vena-introduces-vena-copilot-a-complete-planning-ai-assistant-purpose-built-for-fpa-teams,2026-08-19,eligible,Verified first-wave qualifying event and external availability; not a completeness claim.,0.1
rel_sage_intacct_20241203,prod_sage_intacct,org_sage,Sage Intacct + Sage Copilot,material_ai_enablement,2024-12-03,exact,limited_customer_release,US;GB,Early-adopter release of Copilot capabilities in Sage Intacct.,https://www.sage.com/en-us/news/press-releases/2024/12/sage-intacct-supports-smb-growth-with-new-enhancements-and-capabilities/,2026-08-19,eligible,Verified first-wave qualifying event and external availability; not a completeness claim.,0.1
rel_tr_onesource_indirect_tax_20241031,prod_tr_onesource_indirect_tax,org_thomson_reuters,ONESOURCE Indirect Tax + CoCounsel,material_ai_enablement,2024-10-31,exact,general_availability,NA;EU;MEA,CoCounsel integration added source-grounded indirect-tax product support.,https://www.thomsonreuters.com/en/press-releases/2024/october/thomson-reuters-unveils-cocounsel-integration-in-onesource-corporate-tax-solutions,2026-08-19,eligible,Verified first-wave qualifying event and external availability; not a completeness claim.,0.1
rel_avalara_tax_research_20250709,prod_avalara_tax_research,org_avalara,Avalara Tax Research + Avi,material_ai_enablement,2025-07-09,exact,general_availability,UNSPECIFIED,Avi became available to subscribers inside Avalara Tax Research.,https://newsroom.avalara.com/2025-07-09-Avalara-Embeds-AI-Powered-Assistant-into-Avalara-Tax-Research,2026-08-19,eligible,Verified first-wave qualifying event and external availability; not a completeness claim.,0.1
rel_radai_omni_reporting_20230822,prod_radai_omni_reporting,org_rad_ai,Rad AI Omni Reporting,initial_external_release,2023-08-22,exact,limited_customer_release,US,Launch of AI-assisted radiology reporting already in use by named customers.,https://www.radai.com/news/rad-ai-to-unveil-next-generation-intelligent-radiology-reporting-solution-at-launch-event,2026-08-19,eligible,Verified first-wave qualifying event and external availability; not a completeness claim.,0.1
