product_task_assessment_id,product_id,product_ai_release_id,occupation_soc_code,canonical_task_set_version,canonical_task_id,task_scope_version,jurisdiction_code,product_date_assessed,product_configuration_assessed,product_task_mapping_basis,product_task_coverage,supported_case_scope,product_task_relationship,primary_user_role,acquire_product_autonomy_rating,interpret_product_autonomy_rating,decide_product_autonomy_rating,act_product_autonomy_rating,product_rating_rationale,protocol_version,product_assessment_status
pta_intuit_quickbooks_online_acc01,prod_intuit_quickbooks_online,rel_intuit_quickbooks_online_20241120,13-2011.00,pilot-1.0,ACC-01,scope-pilot-1.0,US,2026-08-19,"QuickBooks Online Plus/Advanced or Intuit Enterprise Suite (U.S.), current Accounting AI with connected bank transactions and auto-post enabled for supported Intuit Payroll and QuickBooks Bill Pay matches, as of 2026-08-19",vendor_explicit_task,bounded_substantive,"Connected bank-feed lines that match supported Intuit Payroll direct deposits or payroll-tax payments, or bills paid through QuickBooks Bill Pay, and are eligible for Accounting AI auto-post; excludes ready-to-post review-queue items and broader close actions such as write-offs, depreciation, and amortization.",mixed,"Small-business owner, bookkeeper, or accountant",4,4,4,4,"Supported case: recurring bank-feed transactions that Accounting AI can match to Intuit Payroll direct deposits/payroll-tax payments or bills paid through QuickBooks Bill Pay and auto-post. For this bounded but substantive transaction-recording case, the product obtains the connected records, resolves the match and accounting treatment, decides it is eligible for auto-post, and posts before any routine human gate; the user is notified in the Posted tab and may audit after the fact. These 4s do not extend to broader month-end-close actions such as write-offs, depreciation, amortization, or other ready-to-post items, for which Intuit separately requires review and approval.",0.1,calibration_draft
pta_intuit_quickbooks_online_acc03,prod_intuit_quickbooks_online,rel_intuit_quickbooks_online_20241120,13-2011.00,pilot-1.0,ACC-03,scope-pilot-1.0,US,2026-08-19,"QuickBooks Online Advanced (U.S.) with current Intuit Intelligence 12-month forecasting, scenario analysis, and forecast-to-budget option, as of 2026-08-19",vendor_explicit_task,bounded_substantive,"A U.S. business with at least two years of current, categorized QuickBooks history, assessed for a 12-month income, expense, and cash-flow forecast plus user-prompted scenarios and optional forecast-to-budget conversion; excludes unconnected planning inputs and the final business decision.",mixed,"Small-business owner, bookkeeper, or accountant",4,4,2,4,"Supported case: a 12-month income, expense, and cash-flow forecast based on at least two years of current QuickBooks history, with user-prompted scenario analysis. Intuit Intelligence directly reads the connected history, generates the forecast and scenario outputs, and can prepare a finished forecast/budget artifact without a routine pre-output gate. Decide is 2 because the documentation explicitly leaves assumption changes, scenario selection, reliance, and the business decision to the user. The 4s do not imply acquisition of planning inputs outside QuickBooks or autonomous managerial decisions.",0.1,calibration_draft
pta_xero_xero_accounting_acc01,prod_xero_xero_accounting,rel_xero_xero_accounting_202408,13-2011.00,pilot-1.0,ACC-01,scope-pilot-1.0,US,2026-08-19,"Xero U.S. Growing-or-higher plan with JAX automatic bank reconciliation enabled for connected bank accounts, using Rule, Match, Memory and Prediction methods, as of 2026-08-19",vendor_explicit_task,bounded_substantive,"New statement lines from connected U.S. bank accounts on a Growing-or-higher plan for which JAX has high confidence under a configured Rule, existing-record Match, learned Memory, or Prediction; excludes uncertain suggestions, manual journals, and broader close work.",mixed,Small-business owner or accountant,4,4,4,4,"Supported case: incoming bank-statement lines for which JAX has high confidence under a configured rule, existing-record match, learned memory, or prediction. Xero imports the feed, categorizes or matches the line, decides the match is sufficiently confident, and reconciles it before human review; users review only uncertain items or audit completed actions afterward. These 4s do not cover uncertain lines, manual journals, the broader close, or every accounting event.",0.1,calibration_draft
pta_xero_xero_accounting_acc03,prod_xero_xero_accounting,rel_xero_xero_accounting_202408,13-2011.00,pilot-1.0,ACC-03,scope-pilot-1.0,US,2026-08-19,"Xero U.S. with current JAX chat and financial-insights experience using permissioned live Xero data and real-time public information, as of 2026-08-19",vendor_explicit_task,narrow_fragment,"A user-initiated financial-performance, trend, cash-flow, benchmarking, or planning question answerable from the user's permissioned live Xero data and real-time public information; the endpoint is the requested analysis or advice, not implementation of the recommended business action.",mixed,Small-business owner or accountant,4,4,2,4,"Supported case: a user-initiated financial-performance, trend, cash-flow, benchmarking, or planning query answerable from permissioned Xero data and public information. JAX directly obtains those sources, returns a tailored analysis with charts or tables, and communicates the output without an intervening approval step. Decide is 2 because Xero describes the output as support for the user's decision and leaves goals, assumptions, choice, and action with the user. This does not establish autonomous enterprise budgeting or execution of the recommended business action.",0.1,calibration_draft
pta_floqast_accounting_transformation_platform_acc01,prod_floqast_accounting_transformation_platform,rel_floqast_accounting_transformation_platform_20240925,13-2011.00,pilot-1.0,ACC-01,scope-pilot-1.0,US,2026-08-19,"FloQast Accounting Transformation Platform with Reconciliation Automation, connected ERP/bank/upstream feeds, AI Transaction Matching, and business-defined low-risk auto-certification thresholds, as of 2026-08-19",vendor_explicit_task,bounded_substantive,"Configured low-risk reconciliations that receive connected source data, tie out within organization-defined materiality and tolerance thresholds, and require no adjusting journal; excludes exceptions, high-risk reconciliations, adjusting entries, and postings to the books.",occupation_worker_tool,Accountant or controllership professional,4,4,4,4,"Supported case: configured low-risk reconciliations that tie out within organization-defined materiality and tolerance thresholds and require no adjusting journal. FloQast directly receives connected source data, matches and validates the transactions, decides the reconciliation satisfies the thresholds, and auto-certifies it while routing exceptions to humans. The 4s do not cover exceptions, high-risk reconciliations, adjusting journals, or postings; FloQast explicitly requires human approval before anything hits the books.",0.1,calibration_draft
pta_floqast_accounting_transformation_platform_acc02,prod_floqast_accounting_transformation_platform,rel_floqast_accounting_transformation_platform_20240925,13-2011.00,pilot-1.0,ACC-02,scope-pilot-1.0,US,2026-08-19,"FloQast AI Testing beta with embedded test sheets and AI evidence annotation/pass-fail workflow, as externally offered on 2026-08-19",vendor_explicit_task,narrow_fragment,"A defined control-attribute test in the externally offered AI Testing beta using supporting documents supplied in FloQast's embedded test sheets; excludes engagement planning, evidence-population selection, overall assurance conclusions, recommendations, and final reporting.",occupation_worker_tool,Accountant or controllership professional,2,3,1,2,"FloQast reads supplied control evidence, annotates documents, and automatically produces a first-pass pass/fail conclusion for each tested attribute. Acquire is 2 because people still establish criteria, select samples, and supply the relevant evidence. Interpret is 3 for the bounded attribute-testing output because the system completes a first-pass conclusion but explicitly elevates auditors to strategic reviewers. Decide is 1 because engagement scope, significance, assurance conclusions, and recommendations remain human. Act is 2 because embedded sheets and annotations materially prepare documentation, but auditors complete conclusions and reporting.",0.1,calibration_draft
pta_mindbridge_ai_platform_acc02,prod_mindbridge_ai_platform,rel_mindbridge_ai_platform_20230927,13-2011.00,pilot-1.0,ACC-02,scope-pilot-1.0,US,2026-08-19,"MindBridge AI Platform with current Transaction Risk Analytics/general-ledger and subledger analyses, configured library/control points and review workflow, as of 2026-08-19",vendor_explicit_task,bounded_substantive,"Transaction-risk analysis over an auditor-imported general-ledger or subledger population using configured MindBridge libraries and control points, including risk scoring, trends, anomaly flags, prioritization, sampling support, and exports; excludes non-transaction evidence and the final assurance conclusion or report.",occupation_worker_tool,Auditor or assurance professional,2,2,2,1,"MindBridge provides a substantial full-population transaction-risk component of an assurance engagement, not the whole engagement. Acquire is 2 because auditors import structured ledgers and related files, configure the engagement, and must verify AI-suggested account mappings. Interpret is 2 because automated scores, trends, anomaly flags and dashboards materially narrow risk, but auditors review and investigate the entries to assess errors, fraud, deficiencies, and evidence sufficiency. Decide is 2 because prioritization and risk-based sampling materially inform procedures while auditors retain scope, significance and assurance conclusions. Act is 1 because exports, review tracking and guided procedures support workpapers, but people perform/direct procedures and issue findings.",0.1,calibration_draft
pta_blackline_journals_risk_analyser_acc02,prod_blackline_journals_risk_analyser,rel_blackline_journals_risk_analyser_20240411,13-2011.00,pilot-1.0,ACC-02,scope-pilot-1.0,US,2026-08-19,"BlackLine Journals Risk Analyser with Verity AI, connected to the organization's journal population across ERP systems, as of 2026-08-19",vendor_explicit_task,bounded_substantive,"Journal-population anomaly, trend, KPI, fraud-risk, and compliance-risk analysis across connected ERP systems; excludes acquisition of broader engagement evidence and final audit analysis, approval, documentation, remediation, or reporting.",occupation_worker_tool,"Accountant, controller, or auditor",2,2,1,1,"Journals Risk Analyser captures and evaluates journal populations, detects anomalies and trends, and provides dashboards and natural-language querying. Acquire and Interpret are 2 because this is a substantial journal-risk component, but users still establish policies and scope and assess the flagged findings. Decide is 1 because BlackLine explicitly treats AI insights as suggestions and leaves final analysis and approval to humans. Act is 1 because the product surfaces dashboards and risks while final documentation, remediation, audit procedures, and reporting remain human.",0.1,calibration_draft
pta_workiva_platform_acc01,prod_workiva_platform,rel_workiva_platform_20230801,13-2011.00,pilot-1.0,ACC-01,scope-pilot-1.0,US,2026-08-19,"Workiva Platform with Workiva AI enabled, context-aware document/spreadsheet/presentation companions and connected SEC-reporting workflow, as of 2026-08-19",vendor_explicit_task,bounded_substantive,"U.S. SEC or financial-reporting work using linked Workiva data and permissioned documents for document analysis, debt-term extraction, table-based narrative generation, MD&A summaries, or risk-factor drafts; excludes final accounting treatment, disclosure judgment, document approval, and filing release.",occupation_worker_tool,"Financial-reporting, audit, or GRC professional",2,3,2,3,"Workiva materially connects reporting data and lets AI reference files, summarize documents, extract terms, analyze financial tables and draft narratives. Acquire is 2 because users establish data links, permissions and referenced files. Interpret is 3 for supported document/table analyses because the AI supplies a complete response but Workiva requires every response to undergo human review. Decide is 2 because risk-factor selection, accounting treatment and disclosure judgment remain human. Act is 3 for supported report narratives because Workiva drafts the content, but it never inserts or changes a document without explicit user approval.",0.1,calibration_draft
pta_workiva_platform_acc02,prod_workiva_platform,rel_workiva_platform_20230801,13-2011.00,pilot-1.0,ACC-02,scope-pilot-1.0,US,2026-08-19,"Workiva Platform with Workiva AI enabled, context-aware file reference, intelligent search and controlled GRC/audit documentation workflow, as of 2026-08-19",demonstrated_task_match,narrow_fragment,"Permissioned audit or GRC document search, summarization, extraction, and draft documentation inside Workiva; excludes establishing engagement scope, performing the full evidence procedure, judging significance, reaching the overall assurance conclusion, and approving or issuing the report.",occupation_worker_tool,"Financial-reporting, audit, or GRC professional",2,3,2,3,"For bounded audit/GRC document-review and workpaper-drafting cases, Workiva can search permissioned content, reference documents, summarize and extract information, and produce a complete draft. Acquire is 2 because users establish permissions, content and search/reference scope. Interpret is 3 because the response is complete but every AI response requires human review. Decide is 2 because risk significance, procedures, assurance conclusions and recommendations remain professional judgments. Act is 3 because a complete documentation draft can be produced but cannot enter the controlled document without explicit user approval.",0.1,calibration_draft
