source_task_key,task_id,occupation_soc_code,occupation_name,occupational_task,source_table,task_type_raw,emerging_category_raw,rating_status,provisional_source,task_update_month,domain_source,importance_mean_1_5,relevance_pct,frequency_mean_category_1_7,rating_recommend_suppress,detailed_work_activities,home_canonical_task_id,canonical_task_name,responsibility_role,population_scope,home_mapping_relation,detailed_mapping_relation,mapping_rationale,secondary_candidate_canonical_task_ids,review_flag,review_decision,reviewer_notes,source_url,onet_release,canonical_inclusion_status,exclusion_reason
21505,21505,13-2011.00,Accountants and Auditors,Prepare detailed reports on audit findings.,Task Statements,Core,,rated,FALSE,11/2020,Analyst - Transition,4.58,95.00,2.421,N,"Prepare financial documents, reports, or budgets.",ACC-02,Conduct and report audit or assurance engagements,primary_output,broad,enabling,communication_component,The detailed audit report is a principal deliverable of an audit or assurance engagement.,,FALSE,Accept,,https://www.onetonline.org/link/details/13-2011.00,30.3,included,
21506,21506,13-2011.00,Accountants and Auditors,"Report to management about asset utilization and audit results, and recommend changes in operations and financial activities.",Task Statements,Core,,rated,FALSE,11/2020,Analyst - Transition,4.55,95.24,2.421,N,Report information to managers or other personnel.; Advise others on business or operational matters.; Advise others on financial matters.,ACC-02,Conduct and report audit or assurance engagements,primary_output,broad,enabling,communication_component,Reporting audit results and recommendations to management communicates the engagement's findings.,,FALSE,Accept,,https://www.onetonline.org/link/details/13-2011.00,30.3,included,
21507,21507,13-2011.00,Accountants and Auditors,"Collect and analyze data to detect deficient controls, duplicated effort, extravagance, fraud, or non-compliance with laws, regulations, and management policies.",Task Statements,Core,,rated,FALSE,11/2020,Analyst - Transition,4.50,100.00,2.850,N,Collect evidence for legal proceedings.; Investigate legal issues.,ACC-02,Conduct and report audit or assurance engagements,primary_output,broad,enabling,constituent_activity,"Collecting and analyzing evidence for control failures, fraud, waste, or noncompliance is substantive assurance work; the legal-investigation DWAs reflect a forensic audit variant.",,FALSE,Accept,,https://www.onetonline.org/link/details/13-2011.00,30.3,included,
21508,21508,13-2011.00,Accountants and Auditors,"Inspect account books and accounting systems for efficiency, effectiveness, and use of accepted accounting procedures to record transactions.",Task Statements,Core,,rated,FALSE,11/2020,Analyst - Transition,4.50,100.00,2.900,N,Examine financial records.,ACC-02,Conduct and report audit or assurance engagements,primary_output,broad,enabling,constituent_activity,"Inspection of books, systems, and accounting procedures produces an evaluation of recordkeeping effectiveness and conformity.",,FALSE,Accept,,https://www.onetonline.org/link/details/13-2011.00,30.3,included,
21509,21509,13-2011.00,Accountants and Auditors,"Supervise auditing of establishments, and determine scope of investigation required.",Task Statements,Core,,rated,FALSE,11/2020,Analyst - Transition,4.50,100.00,3.400,N,Oversee business processes.,ACC-02,Conduct and report audit or assurance engagements,primary_output,broad,enabling,leadership_component,Determining scope and supervising the examination are engagement-lead responsibilities directed at the audit outcome.,,TRUE,Accept,,https://www.onetonline.org/link/details/13-2011.00,30.3,included,
21510,21510,13-2011.00,Accountants and Auditors,Confer with company officials about financial and regulatory matters.,Task Statements,Core,,rated,FALSE,11/2020,Analyst - Transition,4.30,100.00,2.381,N,"Discuss business strategies, practices, or policies with managers.",ACC-02,Conduct and report audit or assurance engagements,primary_output,broad,enabling,communication_component,"Within this audit-heavy source cluster, conferring with officials supplies and communicates financial or regulatory context for the engagement, but the wording can also describe general advisory work.",ACC-03,TRUE,Accept,,https://www.onetonline.org/link/details/13-2011.00,30.3,included,
21511,21511,13-2011.00,Accountants and Auditors,"Examine and evaluate financial and information systems, recommending controls to ensure system reliability and data integrity.",Task Statements,Core,,rated,FALSE,11/2020,Analyst - Transition,4.30,100.00,2.450,N,Examine financial records or processes.; Advise others on financial matters.,ACC-02,Conduct and report audit or assurance engagements,primary_output,broad,enabling,setting_or_subspecialty_variant,"Evaluating systems and recommending reliability and data-integrity controls is an information-systems or controls-assurance variant, not ownership of system implementation.",ACC-01,TRUE,Accept,,https://www.onetonline.org/link/details/13-2011.00,30.3,included,
21512,21512,13-2011.00,Accountants and Auditors,"Inspect cash on hand, notes receivable and payable, negotiable securities, and canceled checks to confirm records are accurate.",Task Statements,Core,,rated,FALSE,11/2020,Analyst - Transition,4.25,100.00,2.300,N,Verify accuracy of records.,ACC-02,Conduct and report audit or assurance engagements,primary_output,broad,enabling,constituent_activity,Physical and documentary inspection verifies recorded balances as audit evidence.,,FALSE,Accept,,https://www.onetonline.org/link/details/13-2011.00,30.3,included,
21513,21513,13-2011.00,Accountants and Auditors,Examine records and interview workers to ensure recording of transactions and compliance with laws and regulations.,Task Statements,Core,,rated,FALSE,11/2020,Analyst - Transition,4.24,100.00,2.762,N,Examine financial records or processes.,ACC-02,Conduct and report audit or assurance engagements,primary_output,broad,enabling,constituent_activity,Record examination and worker interviews support conclusions about transaction recording and legal compliance.,,FALSE,Accept,,https://www.onetonline.org/link/details/13-2011.00,30.3,included,
21514,21514,13-2011.00,Accountants and Auditors,"Prepare, examine, or analyze accounting records, financial statements, or other financial reports to assess accuracy, completeness, and conformance to reporting and procedural standards.",Task Statements,Core,,rated,FALSE,11/2020,Analyst - Transition,4.24,96.39,3.208,N,Examine financial records.; Examine financial records or processes.; Analyze business or financial data.,ACC-01,"Maintain accounting records, systems, and financial reports",primary_output,broad,central,direct_expression,"The statement directly combines preparation, examination, and analysis of accounting records and reports for accurate, complete, standards-conforming reporting.",,FALSE,Accept,,https://www.onetonline.org/link/details/13-2011.00,30.3,included,
21515,21515,13-2011.00,Accountants and Auditors,Prepare adjusting journal entries.,Task Statements,Core,,rated,FALSE,11/2020,Analyst - Transition,4.23,87.30,3.322,N,Analyze financial information.; Prepare financial documents.,ACC-01,"Maintain accounting records, systems, and financial reports",primary_output,broad,enabling,constituent_activity,Adjusting journal entries correct and complete the accounting record before reporting.,,FALSE,Accept,,https://www.onetonline.org/link/details/13-2011.00,30.3,included,
21516,21516,13-2011.00,Accountants and Auditors,Review accounts for discrepancies and reconcile differences.,Task Statements,Core,,rated,FALSE,11/2020,Analyst - Transition,4.23,93.91,3.406,N,Conduct financial or regulatory audits.; Examine financial records.,ACC-01,"Maintain accounting records, systems, and financial reports",primary_output,broad,enabling,constituent_activity,Reconciliation resolves discrepancies so account balances can be maintained accurately; the audit-related DWA makes assurance use plausible as well.,ACC-02,TRUE,Accept,,https://www.onetonline.org/link/details/13-2011.00,30.3,included,
21517,21517,13-2011.00,Accountants and Auditors,Establish tables of accounts and assign entries to proper accounts.,Task Statements,Core,,rated,FALSE,11/2020,Analyst - Transition,4.14,71.41,2.892,N,Prepare financial documents.,ACC-01,"Maintain accounting records, systems, and financial reports",primary_output,broad,enabling,constituent_activity,Creating the chart of accounts and classifying entries establish the structure of the accounting record.,,FALSE,Accept,,https://www.onetonline.org/link/details/13-2011.00,30.3,included,
21518,21518,13-2011.00,Accountants and Auditors,Examine inventory to verify journal and ledger entries.,Task Statements,Core,,rated,FALSE,11/2020,Analyst - Transition,4.14,100.00,1.905,N,Verify accuracy of records.,ACC-02,Conduct and report audit or assurance engagements,primary_output,broad,enabling,constituent_activity,Examining inventory to verify ledger entries is an evidence-verification procedure rather than routine inventory accounting.,,FALSE,Accept,,https://www.onetonline.org/link/details/13-2011.00,30.3,included,
21519,21519,13-2011.00,Accountants and Auditors,"Analyze business operations, trends, costs, revenues, financial commitments, and obligations to project future revenues and expenses or to provide advice.",Task Statements,Core,,rated,FALSE,11/2020,Analyst - Transition,4.03,71.47,3.544,N,Analyze business or financial data.,ACC-03,"Provide financial planning, analysis, and decision support",primary_output,broad,central,direct_expression,"Analysis of operations, trends, costs, revenues, and commitments directly produces forecasts and advice for decisions.",,FALSE,Accept,,https://www.onetonline.org/link/details/13-2011.00,30.3,included,
21520,21520,13-2011.00,Accountants and Auditors,Report to management regarding the finances of establishment.,Task Statements,Core,,rated,FALSE,11/2020,Analyst - Transition,4.03,85.77,3.214,N,Report information to managers or other personnel.,ACC-03,"Provide financial planning, analysis, and decision support",primary_output,broad,enabling,communication_component,Reporting establishment finances to management makes financial information usable for internal decisions; generic financial-statement issuance would instead fall under ACC-01.,ACC-01,TRUE,Accept,,https://www.onetonline.org/link/details/13-2011.00,30.3,included,
21521,21521,13-2011.00,Accountants and Auditors,"Develop, implement, modify, and document recordkeeping and accounting systems, making use of current computer technology.",Task Statements,Core,,rated,FALSE,11/2020,Analyst - Transition,3.99,79.82,3.002,N,Develop business or financial information systems.,ACC-01,"Maintain accounting records, systems, and financial reports",primary_output,broad,enabling,direct_expression,"Developing, modifying, and documenting accounting and recordkeeping systems directly expresses administration of the financial-information operation. Reviewer adjudication places this work within the financial-record and reporting outcome rather than a separate canonical task.",,FALSE,Accept,,https://www.onetonline.org/link/details/13-2011.00,30.3,included,
21522,21522,13-2011.00,Accountants and Auditors,"Evaluate taxpayer finances to determine tax liability, using knowledge of interest and discount rates, annuities, valuation of stocks and bonds, and amortization valuation of depletable assets.",Task Statements,Core,,rated,FALSE,11/2020,Analyst - Transition,3.82,80.95,2.412,N,Assess financial status of clients.,ACC-04,Determine and document tax liabilities and filings,primary_output,occupation_variant,enabling,constituent_activity,Evaluation of taxpayer finances and valuation inputs establishes the basis and amount of tax liability.,,FALSE,Accept,,https://www.onetonline.org/link/details/13-2011.00,30.3,included,
21523,21523,13-2011.00,Accountants and Auditors,"Examine whether the organization's objectives are reflected in its management activities, and whether employees understand the objectives.",Task Statements,Core,,rated,FALSE,11/2020,Analyst - Transition,3.69,80.00,2.438,N,Evaluate effectiveness of personnel policies or practices.,ACC-02,Conduct and report audit or assurance engagements,primary_output,broad,enabling,setting_or_subspecialty_variant,"Testing whether management activity and employee understanding align with organizational objectives is an operational or performance-audit variant, although its DWA also resembles organizational consulting.",ACC-03,TRUE,Accept,,https://www.onetonline.org/link/details/13-2011.00,30.3,included,
