occupation_soc_code,occupation_name,canonical_task_set_version,canonical_task_id,canonical_task_name,task_scope_version,signoff_date_assessed,jurisdiction_code,signoff_applicability_scope,acquire_formal_signoff_status,acquire_signoff_reason_code,interpret_formal_signoff_status,interpret_signoff_reason_code,decide_formal_signoff_status,decide_signoff_reason_code,act_formal_signoff_status,act_signoff_reason_code,signoff_rationale,signoff_evidence_ids,signoff_latest_evidence_access_date,protocol_version,signoff_assessment_status
13-2011.00,Accountants and Auditors,pilot-1.0,ACC-01,"Maintain accounting records, systems, and financial reports",scope-pilot-1.0,2026-08-19,US,U.S. routine accounting records and financial reporting; conditional subset: SEC registrant annual or quarterly reports requiring officer certification and report signatures.,not_required,,not_required,,not_required,,conditional,LEGAL_PROFESSIONAL_AUTHORITY,No task-wide human gate was found for routine accounting records or ordinary financial reports. SEC periodic filings create an Act-only conditional officer-certification and signature gate. Evidence: SIG-ACC01-ACQ-01; SIG-ACC01-INT-01; SIG-ACC01-DEC-01; SIG-ACC01-ACT-01.,SIG-ACC01-ACQ-01; SIG-ACC01-INT-01; SIG-ACC01-DEC-01; SIG-ACC01-ACT-01,2026-08-19,0.1,final
13-2011.00,Accountants and Auditors,pilot-1.0,ACC-02,Conduct and report audit or assurance engagements,scope-pilot-1.0,2026-08-19,US,U.S. audit and assurance work; conditional subset: PCAOB-governed issuer or broker-dealer engagements.,conditional,LEGAL_PROFESSIONAL_AUTHORITY,conditional,LEGAL_PROFESSIONAL_AUTHORITY,conditional,LEGAL_PROFESSIONAL_AUTHORITY,conditional,LEGAL_PROFESSIONAL_AUTHORITY,"PCAOB engagements require supervised and reviewed work, engagement-partner and engagement-quality review of judgments, concurring approval, and firm signature before report use. Other assurance settings are not generalized. Evidence: SIG-ACC02-ACQ-01; SIG-ACC02-INT-01; SIG-ACC02-DEC-01; SIG-ACC02-ACT-01; SIG-ACC02-ACT-02.",SIG-ACC02-ACQ-01; SIG-ACC02-INT-01; SIG-ACC02-DEC-01; SIG-ACC02-ACT-01; SIG-ACC02-ACT-02,2026-08-19,0.1,final
13-2011.00,Accountants and Auditors,pilot-1.0,ACC-03,"Provide financial planning, analysis, and decision support",scope-pilot-1.0,2026-08-19,US,"U.S. routine FP&A, budgeting, forecasting, and management or client decision support; named transaction- or organization-specific approval regimes excluded.",not_required,,not_required,,not_required,,not_required,,"No U.S.-wide legal or professional pre-effect human gate was found. Board, treasury, capital-allocation, or client approvals require a separately named scope and are not inferred here. Evidence: SIG-ACC03-ACQ-01; SIG-ACC03-INT-01; SIG-ACC03-DEC-01; SIG-ACC03-ACT-01.",SIG-ACC03-ACQ-01; SIG-ACC03-INT-01; SIG-ACC03-DEC-01; SIG-ACC03-ACT-01,2026-08-19,0.1,final
13-2011.00,Accountants and Auditors,pilot-1.0,ACC-04,Determine and document tax liabilities and filings,scope-pilot-1.0,2026-08-19,US,U.S. tax accounting and planning; conditional subset: preparation and paper or electronic submission of a federal tax return.,not_required,,not_required,,not_required,,conditional,LEGAL_PROFESSIONAL_AUTHORITY,"Tax research, calculation, and planning do not create a general approval gate. A filed federal return triggers taxpayer and, when applicable, paid-preparer signature or e-file authorization before transmission. Evidence: SIG-ACC04-ACQ-01; SIG-ACC04-INT-01; SIG-ACC04-DEC-01; SIG-ACC04-ACT-01; SIG-ACC04-ACT-02.",SIG-ACC04-ACQ-01; SIG-ACC04-INT-01; SIG-ACC04-DEC-01; SIG-ACC04-ACT-01; SIG-ACC04-ACT-02,2026-08-19,0.1,final
15-1252.00,Software Developers,pilot-1.0,SWD-01,Deliver and sustain a software system or change,scope-pilot-1.0,2026-08-19,US,U.S. software delivery and maintenance; conditional subset: third-party software supplied for federal agency use under OMB M-22-18 and M-23-16.,not_required,,not_required,,not_required,,conditional,ORGANIZATIONAL_GOVERNANCE,"No occupation-wide rule requires human approval of ordinary software stages. Covered third-party software for federal agency use requires a CEO/COO-signed secure-development attestation before agency use, creating an Act gate. Evidence: SIG-SWD01-ACQ-01; SIG-SWD01-INT-01; SIG-SWD01-DEC-01; SIG-SWD01-ACT-01.",SIG-SWD01-ACQ-01; SIG-SWD01-INT-01; SIG-SWD01-DEC-01; SIG-SWD01-ACT-01,2026-08-19,0.1,final
29-1224.00,Radiologists,pilot-1.0,RAD-01,Evaluate patients through diagnostic imaging and communicate findings,scope-pilot-1.0,2026-08-19,US,U.S. clinical diagnostic imaging in CMS-participating hospitals; research- and education-only use excluded; state licensure and privilege rules may add requirements.,required,LEGAL_PROFESSIONAL_AUTHORITY,required,LEGAL_PROFESSIONAL_AUTHORITY,required,LEGAL_PROFESSIONAL_AUTHORITY,required,LEGAL_PROFESSIONAL_AUTHORITY,"CMS hospital rules separately require an authorized order, qualified-practitioner interpretation and clinical judgment, and an authenticated report. Evidence: SIG-RAD01-ACQ-01; SIG-RAD01-INT-01; SIG-RAD01-DEC-01; SIG-RAD01-ACT-01.",SIG-RAD01-ACQ-01; SIG-RAD01-INT-01; SIG-RAD01-DEC-01; SIG-RAD01-ACT-01,2026-08-19,0.1,final
29-1224.00,Radiologists,pilot-1.0,RAD-02,Plan and perform image-guided procedures and manage procedural care,scope-pilot-1.0,2026-08-19,US,U.S. clinical image-guided procedures in CMS-participating hospitals; research- and education-only use excluded; state licensure and facility privileges may add requirements.,required,LEGAL_PROFESSIONAL_AUTHORITY,required,LEGAL_PROFESSIONAL_AUTHORITY,required,LEGAL_PROFESSIONAL_AUTHORITY,required,LEGAL_PROFESSIONAL_AUTHORITY,"CMS rules require an authorized order, qualified designated personnel, informed-consent controls for designated procedures, qualified procedural judgment, and authenticated documentation. Evidence: SIG-RAD02-ACQ-01; SIG-RAD02-INT-01; SIG-RAD02-DEC-01; SIG-RAD02-ACT-01.",SIG-RAD02-ACQ-01; SIG-RAD02-INT-01; SIG-RAD02-DEC-01; SIG-RAD02-ACT-01,2026-08-19,0.1,final
29-1224.00,Radiologists,pilot-1.0,RAD-03,Plan and deliver nuclear medicine diagnosis or therapy,scope-pilot-1.0,2026-08-19,US,U.S. clinical nuclear medicine in CMS-participating hospitals under NRC or Agreement State medical-use rules; research- and education-only use excluded.,required,LEGAL_PROFESSIONAL_AUTHORITY,required,LEGAL_PROFESSIONAL_AUTHORITY,required,LEGAL_PROFESSIONAL_AUTHORITY,required,LEGAL_PROFESSIONAL_AUTHORITY,"CMS and NRC rules reserve ordering, interpretation, prescription or written-directive decisions, supervision, administration, and report authentication to authorized or qualified humans. Evidence: SIG-RAD03-ACQ-01; SIG-RAD03-INT-01; SIG-RAD03-DEC-01; SIG-RAD03-ACT-01.",SIG-RAD03-ACQ-01; SIG-RAD03-INT-01; SIG-RAD03-DEC-01; SIG-RAD03-ACT-01,2026-08-19,0.1,final
47-2031.00,Carpenters,pilot-1.0,CAN-47-2031-01,Plan and coordinate project work,scope-pilot-1.0,2026-08-19,US,U.S. project planning and coordination; conditional subset: covered paid renovation in pre-1978 housing or child-occupied facilities under EPA RRP.,not_required,,not_required,,conditional,LEGAL_PROFESSIONAL_AUTHORITY,conditional,LEGAL_PROFESSIONAL_AUTHORITY,"General construction safety oversight does not create an ordinary planning approval gate. Covered lead renovation requires certified-renovator direction, specified presence, cleaning verification, and records. Evidence: SIG-CAN47203101-ACQ-01; SIG-CAN47203101-INT-01; SIG-CAN47203101-DEC-01; SIG-CAN47203101-ACT-01.",SIG-CAN47203101-ACQ-01; SIG-CAN47203101-INT-01; SIG-CAN47203101-DEC-01; SIG-CAN47203101-ACT-01,2026-08-19,0.1,final
47-2031.00,Carpenters,pilot-1.0,CAN-47-2031-02,"Construct, install, and restore permanent components",scope-pilot-1.0,2026-08-19,US,U.S. permanent construction and restoration; conditional subset: work involving asbestos-containing or presumed asbestos-containing material under 29 CFR 1926.1101.,conditional,LEGAL_PROFESSIONAL_AUTHORITY,conditional,LEGAL_PROFESSIONAL_AUTHORITY,conditional,LEGAL_PROFESSIONAL_AUTHORITY,conditional,LEGAL_PROFESSIONAL_AUTHORITY,"Covered asbestos work assigns exposure assessment, hazard interpretation, control selection or certification, and on-site supervision to a trained competent person. Evidence: SIG-CAN47203102-ACQ-01; SIG-CAN47203102-INT-01; SIG-CAN47203102-DEC-01; SIG-CAN47203102-ACT-01.",SIG-CAN47203102-ACQ-01; SIG-CAN47203102-INT-01; SIG-CAN47203102-DEC-01; SIG-CAN47203102-ACT-01,2026-08-19,0.1,final
