occupation_soc_code,occupation_name,canonical_task_id,canonical_task_name,canonical_task_definition,occupational_outcome,responsibility_role,population_scope,variant_name,variant_evidence,source_task_count,review_flagged_mapping_count,rationale,boundary,split_or_merge_rule_applied,construction_evidence,construction_method,construction_blinding_status,construction_date,canonical_task_set_version,proposal_status,review_decision,reviewer_notes
13-2011.00,Accountants and Auditors,ACC-01,"Maintain accounting records, systems, and financial reports","Establish and operate the recordkeeping systems and processes through which financial activity is captured, classified, reconciled, and reported, producing accurate, complete, standards-conforming financial records and statements.","Accurate, complete, standards-conforming financial records and statements are available for organizational and external use.",primary_output,broad,,,9,4,"Financial records, recordkeeping systems, and the personnel and processes operating them serve one outcome: reliable financial information. Reviewer adjudication merged the former accounting-systems support task into this responsibility.","Includes design, modification, documentation, operation, and supervision of accounting and recordkeeping systems and preparation or reconciliation of records and reports. Excludes independent audit or assurance, decision-support forecasting or advice, and tax filing.",Reviewer-adjudicated merge of enabling system operations into the financial-reporting outcome,"O*NET 30.3 task statements, task ratings, and DWA mappings; https://www.bls.gov/ooh/business-and-financial/accountants-and-auditors.htm",LLM-assisted source-only proposal with primary-agent adjudication; reviewer partition decision incorporated 2026-08-19; independent publication review pending,non_blinded_pilot,2026-08-19,pilot-1.0,Accepted for calibration; immutable non-blinded pilot,Accept,
13-2011.00,Accountants and Auditors,ACC-02,Conduct and report audit or assurance engagements,"Scope, direct, and carry out examinations that provide defensible findings about the accuracy, integrity, compliance, controls, or effectiveness of financial records, information systems, and organizational operations, and communicate findings and recommendations to responsible parties.","Responsible parties receive a defensible assurance conclusion about the reliability, compliance, controls, systems, or operations examined.",primary_output,broad,,,14,6,"The task statements all contribute to an assurance finding: establishing scope, obtaining and verifying evidence, evaluating records, controls, systems, compliance, or operations, and reporting findings. Financial, operational, payroll, information-systems, and pre-implementation audits differ in subject matter but retain the same independent examination responsibility. Most are Core and highly relevant; the Supplemental pre-implementation statement represents a narrower setting rather than a different occupational outcome.","Excludes maintaining or administering the underlying accounting records and systems (ACC-01), ordinary management analysis (ACC-03), and preparation of a taxpayer's return (ACC-04). Formal supervision is included only when it scopes and delivers an audit engagement.",Independently meaningful occupational output,"O*NET 30.3 task statements, task ratings, and DWA mappings; https://www.bls.gov/ooh/business-and-financial/accountants-and-auditors.htm",LLM-assisted source-only proposal with primary-agent adjudication; reviewer partition decision incorporated 2026-08-19; independent publication review pending,non_blinded_pilot,2026-08-19,pilot-1.0,Accepted for calibration; immutable non-blinded pilot,Accept,
13-2011.00,Accountants and Auditors,ACC-03,"Provide financial planning, analysis, and decision support","Analyze financial and operating conditions, prepare budgets and forecasts, and communicate decision-useful financial assessments or advice to management or clients.","Decision-makers receive financially grounded analysis and advice for a defined planning, operating, or client decision.",primary_output,broad,,,4,2,"These statements use financial and operating information to inform a prospective management or client decision rather than to create the historical accounting record or independently attest to it. The Core analysis and management-reporting statements are broadly relevant, while budgeting and broad client advisory work extend the same decision-support outcome into particular settings.","Excludes standards-conforming historical record, system, and statement production (ACC-01), recommendations that arise as audit findings (ACC-02), and tax-liability calculation or return filing (ACC-04). Task 21527 spans several advisory domains and remains explicitly flagged.",Independently meaningful occupational output,"O*NET 30.3 task statements, task ratings, and DWA mappings; https://www.bls.gov/ooh/business-and-financial/accountants-and-auditors.htm",LLM-assisted source-only proposal with primary-agent adjudication; reviewer partition decision incorporated 2026-08-19; independent publication review pending,non_blinded_pilot,2026-08-19,pilot-1.0,Accepted for calibration; immutable non-blinded pilot,Accept,
13-2011.00,Accountants and Auditors,ACC-04,Determine and document tax liabilities and filings,Determine the amount and basis of tax obligations and prepare required tax filings so that reporting and payment comply with applicable requirements.,"Tax obligations are accurately determined, documented, and reported through compliant filings.",primary_output,occupation_variant,Tax accounting and compliance,https://www.bls.gov/ooh/business-and-financial/accountants-and-auditors.htm,2,0,The included statements center on determining and documenting a taxpayer's obligations. Authority-side examination is treated as an audit variant rather than combined with taxpayer-side preparation.,"Includes tax-liability calculation and preparation of compliant returns. Excludes authority-side taxpayer audits, broad tax or estate planning advice, and payroll compliance audits.",Documented occupational variant,"O*NET 30.3 task statements, task ratings, and DWA mappings; https://www.bls.gov/ooh/business-and-financial/accountants-and-auditors.htm",LLM-assisted source-only proposal with primary-agent adjudication; reviewer partition decision incorporated 2026-08-19; independent publication review pending,non_blinded_pilot,2026-08-19,pilot-1.0,Accepted for calibration; immutable non-blinded pilot,Accept,
15-1252.00,Software Developers,SWD-01,Deliver and sustain a software system or change,"Turn a defined need into a designed, implemented, tested, documented, deployed, and supported software system or modification that continues to operate in conformance with agreed functional, interface, performance, security, cost, and technical requirements.","A functioning, maintainable software system or change satisfies the defined need and agreed requirements.",primary_output,broad,,,15,4,"Development, installation, monitoring, user enablement, and operational support form the end-to-end outcome of delivering usable software. Reviewer adjudication merged deployment and operations into delivery and excluded formal personnel supervision as a managerial-role variant.","Includes requirements, coordination, design, implementation, testing, documentation, installation, operational monitoring, maintenance support, and user enablement. Excludes formal assignment or supervision of personnel.",Reviewer-adjudicated end-to-end merge with managerial-role exclusion,"O*NET 30.3 task statements, task ratings, and DWA mappings; https://www.bls.gov/ooh/computer-and-information-technology/software-developers.htm",LLM-assisted source-only proposal with primary-agent adjudication; reviewer partition decision incorporated 2026-08-19; independent publication review pending,non_blinded_pilot,2026-08-19,pilot-1.0,Accepted for calibration; immutable non-blinded pilot,Accept,
29-1224.00,Radiologists,RAD-01,Evaluate patients through diagnostic imaging and communicate findings,"Determine a clinically usable image-based assessment by relating the clinical question and patient history to diagnostically adequate imaging, interpreting the examination, documenting the findings, and coordinating or communicating the result to the clinicians, patients, or families who use it.",A clinically usable imaging assessment is documented and available to those responsible for the patient’s care.,primary_output,broad,,,10,1,"This is the broadly shared, high-relevance occupational outcome in the inventory. The included tasks form one substantive responsibility: obtain the relevant clinical context, ensure the examination can answer the question, interpret the images, and deliver a usable diagnostic assessment. Separate rows for PACS use, reports, consultation, and result communication describe components or delivery forms of that outcome rather than independent occupational outcomes.","Includes diagnostic interpretation across modalities, including diagnostic PET and nuclear cardiology, and case-level direction or approval needed for a diagnostically adequate examination. Includes communication only when it conveys or clarifies diagnostic findings. Excludes invasive image-guided procedures, radionuclide-specific planning or administration, treatment-plan ownership, system-level quality governance, and procedural consent or complication management.",Independently meaningful occupational output,"O*NET 30.3 task statements, task ratings, and DWA mappings; https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm",LLM-assisted source-only proposal with primary-agent adjudication; reviewer partition decision incorporated 2026-08-19; independent publication review pending,non_blinded_pilot,2026-08-19,pilot-1.0,Accepted for calibration; immutable non-blinded pilot,Accept,
29-1224.00,Radiologists,RAD-02,Plan and perform image-guided procedures and manage procedural care,"Plan and complete image-guided diagnostic or therapeutic procedures while informing the patient, managing peri-procedural safety and complications, and documenting the procedure and its outcome.","An image-guided diagnostic or therapeutic procedure is safely completed, with its result and any complications documented.",primary_output,occupation_variant,Interventional radiology,https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm,5,3,"The interventional inventory describes a patient-care outcome that is not reducible to image interpretation: an invasive procedure or radiologic treatment is planned, physically performed, managed, and documented. The supplemental status and lower relevance of the explicit interventional and treatment-planning statements are consistent with a meaningful specialty practiced by a subset of radiologists, not with an unimportant fragment of general diagnostic work.","Includes image-guided intervention, associated treatment planning, informed counseling, peri-procedural complication management, and procedural documentation. Excludes routine diagnostic reporting and diagnostic-result communication, radionuclide-specific diagnosis or therapy, and department-level safety or quality governance. Generic source statements about treatment, counseling, or procedure documentation are retained here as best fits and flagged where they may also cover nuclear medicine or non-interventional procedures.",Documented occupational variant,"O*NET 30.3 task statements, task ratings, and DWA mappings; https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm",LLM-assisted source-only proposal with primary-agent adjudication; reviewer partition decision incorporated 2026-08-19; independent publication review pending,non_blinded_pilot,2026-08-19,pilot-1.0,Accepted for calibration; immutable non-blinded pilot,Accept,
29-1224.00,Radiologists,RAD-03,Plan and deliver nuclear medicine diagnosis or therapy,"Determine whether a nuclear medicine application is appropriate and deliver the selected diagnostic or therapeutic radionuclide service by choosing and prescribing the agent and dosage, directing technical execution, maintaining radioactive-material and dosage-instrument readiness, administering radioisotopes, and advising clinicians about use and limitations.",The selected radionuclide diagnostic or therapeutic service is safely delivered and documented for its intended clinical use.,primary_output,occupation_variant,Nuclear medicine practice,https://www.onetonline.org/link/details/29-1224.00,9,0,"These analyst-originated nuclear medicine statements consistently identify a distinct work object—radioactive materials used for diagnosis or treatment—and a linked set of physician responsibilities involving appropriateness review, comparative modality choice, prescription, dosimetry, technical direction, administration, and clinical advice. Those responsibilities exceed the interpretation of a diagnostic image and are sufficiently coherent to form one specialty outcome.","Includes patient-specific nuclear medicine diagnosis or therapy from appropriateness review through radionuclide prescription, preparation, administration, technical direction, and modality-specific clinical advice. Excludes ordinary interpretation and reporting of diagnostic PET or nuclear cardiology images when the source statement groups those with general diagnostic imaging; excludes department planning, radiation-protection governance, radioactive-material handling oversight, and instrument quality assurance.",Documented occupational variant,"O*NET 30.3 task statements, task ratings, and DWA mappings; https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm",LLM-assisted source-only proposal with primary-agent adjudication; reviewer partition decision incorporated 2026-08-19; independent publication review pending,non_blinded_pilot,2026-08-19,pilot-1.0,Accepted for calibration; immutable non-blinded pilot,Accept,
47-2031.00,Carpenters,CAN-47-2031-01,Plan and coordinate project work,"Translate plans and client or employer requirements into layouts, quantities, costs, materials, schedules, trade coordination, and project records so that field work can proceed.","An executable, resourced, coordinated, and documented project plan is ready for field work.",enabling_support,broad,,,7,1,"These tasks share the project as their work object and produce an executable, resourced, coordinated, and documented job rather than a physical building element.","Includes pre-work planning, purchasing, estimating, scheduling, coordination, and progress documentation. Excludes physical material preparation, construction, repair, finishing, and site hazard control.",Enabling responsibility retained separately,"O*NET 30.3 task statements, task ratings, and DWA mappings; https://www.bls.gov/ooh/construction-and-extraction/carpenters.htm",LLM-assisted source-only proposal with primary-agent adjudication; reviewer partition decision incorporated 2026-08-19; independent publication review pending,non_blinded_pilot,2026-08-19,pilot-1.0,Accepted for calibration; immutable non-blinded pilot,Accept,
47-2031.00,Carpenters,CAN-47-2031-02,"Construct, install, and restore permanent components","Plan dimensions at the workface; measure, fabricate, assemble, install, inspect, repair, or replace permanent wood and related building components while maintaining safe work practices.","Permanent building components are correctly fabricated, installed, or restored and ready for their intended use.",primary_output,broad,,,13,3,"New construction and defect-led repair share the SOC occupation's defining responsibility to construct, install, or repair structures and fixtures. Safety and housekeeping enable that same physical responsibility and do not create an independently assignable carpenter output.","Includes permanent rough and general carpentry, inspection and restoration of existing components, and cross-cutting safety or hazardous-material controls. Excludes project-level planning and administration, temporary forms or site supports, and finish-specialty surfaces.",Independently meaningful occupational output,"O*NET 30.3 task statements, task ratings, and DWA mappings; https://www.bls.gov/ooh/construction-and-extraction/carpenters.htm",LLM-assisted source-only proposal with primary-agent adjudication; reviewer partition decision incorporated 2026-08-19; independent publication review pending,non_blinded_pilot,2026-08-19,pilot-1.0,Accepted for calibration; immutable non-blinded pilot,Accept,
