release_version,occupation_soc_code,occupation_name,canonical_task_id,canonical_task_name,jurisdiction_scope,language_scope,collection_status,live_product_design_assessment_count,live_distinct_product_count,provisional_eligible_product_count,provisional_product_design_assessment_count,search_run_count,completed_source_family_count,source_families,unresolved_candidate_count,high_salience_unresolved_count,holdout_recall,cold_challenge_result,saturation_status,coverage_claim,major_limitations,next_required_work,release_mapped_product_count,release_mapped_company_count,release_product_design_assessment_count,release_numeric_design_assessment_count,release_non_numeric_design_assessment_count,release_design_pending_assessment_count,release_rated_with_ie_assessment_count,release_numeric_design_product_count,release_coded_design_product_count,release_design_coding_status,release_discovery_hit_count,release_search_run_count,release_eligible_discovery_hit_count,release_excluded_discovery_hit_count,release_duplicate_discovery_hit_count,release_unresolved_discovery_hit_count,release_pending_discovery_hit_count
working_initial_release,13-2011.00,Accountants and Auditors,ACC-01,"Maintain accounting records, systems, and financial reports",US first wave; separately documented foreign calibration rows may exist,English,active_search,4,4,90,0,0,0,,1,1,not_run,not_run,not_saturated,No comprehensive current-product claim; counts reflect live calibration rows and explicitly labeled provisional staging only.,"1 QuickBooks, Sage Intacct, NetSuite, Microsoft AppSource, and SAP panels are not exhausted to an accessible complete end; 2 public-web query-source cells remain partial; 5 four independently completed source families are not demonstrated; 6 high-salience U.S.-availability candidate remains unresolved; 7 no independent blinded holdout with >=95% recall; 8 latest expanded round found material omissions or two clean low-yield rounds have not been completed; 9 cold independent ordered first-50 challenge not run; 10 final overlap and marginal-yield analysis is incomplete","Finish marketplace/source panels, challenge omissions, reconcile global identities, then code every mapped product configuration.",90,87,90,44,46,0,46,44,90,complete_for_current_inventory,932,31,88,99,10,735,0
working_initial_release,13-2011.00,Accountants and Auditors,ACC-02,Conduct and report audit or assurance engagements,US first wave; separately documented foreign calibration rows may exist,English,active_search,6,6,33,0,0,0,,1,1,not_run,not_run,not_saturated,No comprehensive current-product claim; counts reflect live calibration rows and explicitly labeled provisional staging only.,"1 QuickBooks, Sage Intacct, NetSuite, Microsoft AppSource, and SAP panels are not exhausted to an accessible complete end; 2 public-web query-source cells remain partial; 5 four independently completed source families are not demonstrated; 6 high-salience U.S.-availability candidate remains unresolved; 7 no independent blinded holdout with >=95% recall; 8 latest expanded round found material omissions or two clean low-yield rounds have not been completed; 9 cold independent ordered first-50 challenge not run; 10 final overlap and marginal-yield analysis is incomplete","Finish marketplace/source panels, challenge omissions, reconcile global identities, then code every mapped product configuration.",33,31,33,33,0,0,0,33,33,complete_for_current_inventory,109,26,31,10,6,62,0
working_initial_release,13-2011.00,Accountants and Auditors,ACC-03,"Provide financial planning, analysis, and decision support",US first wave; separately documented foreign calibration rows may exist,English,active_search,4,4,79,0,0,0,,1,1,not_run,not_run,not_saturated,No comprehensive current-product claim; counts reflect live calibration rows and explicitly labeled provisional staging only.,"1 QuickBooks, Sage Intacct, NetSuite, Microsoft AppSource, and SAP panels are not exhausted to an accessible complete end; 2 public-web query-source cells remain partial; 5 four independently completed source families are not demonstrated; 6 high-salience U.S.-availability candidate remains unresolved; 7 no independent blinded holdout with >=95% recall; 8 latest expanded round found material omissions or two clean low-yield rounds have not been completed; 9 cold independent ordered first-50 challenge not run; 10 final overlap and marginal-yield analysis is incomplete","Finish marketplace/source panels, challenge omissions, reconcile global identities, then code every mapped product configuration.",79,74,79,74,5,0,5,74,79,complete_for_current_inventory,301,29,73,16,11,201,0
working_initial_release,13-2011.00,Accountants and Auditors,ACC-04,Determine and document tax liabilities and filings,US first wave; separately documented foreign calibration rows may exist,English,active_search,3,3,41,0,0,0,,0,0,not_run,not_run,not_saturated,No comprehensive current-product claim; counts reflect live calibration rows and explicitly labeled provisional staging only.,"1 QuickBooks, Sage Intacct, NetSuite, Microsoft AppSource, and SAP panels are not exhausted to an accessible complete end; 2 public-web query-source cells remain partial; 5 four independently completed source families are not demonstrated; 7 no independent blinded holdout with >=95% recall; 8 latest expanded round found material omissions or two clean low-yield rounds have not been completed; 9 cold independent ordered first-50 challenge not run; 10 final overlap and marginal-yield analysis is incomplete","Finish marketplace/source panels, challenge omissions, reconcile global identities, then code every mapped product configuration.",40,30,41,37,4,0,4,36,40,complete_for_current_inventory,77,25,40,7,6,24,0
working_initial_release,15-1252.00,Software Developers,SWD-01,Deliver and sustain a software system or change,US first wave; separately documented foreign calibration rows may exist,English,frozen_lower_bound_not_saturated,6,6,1777,1777,,,,5149,0,FAIL; accepted-only recall 73/97; strict logged recall 77/97; 20 high-salience misses; valid_for_stopping=TRUE,FAIL; strict logged 41/50; 9 eligible high-salience misses; valid_for_stopping=TRUE,not_saturated,"Frozen, verified software-product lower bound only; the inventory is not saturated and is not comprehensive.","Mandatory structured panels and four completed independent discovery families are not demonstrated.|The clean outcome-blind holdout and cold first-50 challenges failed; post-remediation reuse is invalid for stopping.|Both post-resolution rounds added products, resetting the Rule 8 clean-round counter to zero.|Newly admitted products are IE at all AIDA stages until direct stage-authority and human-gate documentation is adjudicated.",Continue independent discovery and stopping-rule work. Failed stopping rules: R1|R5|R7|R8|R9,1767,1695,1777,340,1437,0,1437,340,1767,complete_for_current_inventory,16641,316,333,1452,240,130,13074
working_initial_release,29-1224.00,Radiologists,RAD-01,Evaluate patients through diagnostic imaging and communicate findings,US first wave; separately documented foreign calibration rows may exist,English,active_search,9,9,65,9,1,1,company_archive,,,blinded review completed for the 64-candidate P1 multisource tier; no census-level recall estimate yet,not_run,not_saturated,No comprehensive current-product claim; counts reflect live calibration rows and explicitly labeled provisional staging only.,"The multisource tier and its persistent-product identities are adjudicated, but one-panel candidates, unmatched directories, and exhibitor company leads remain unverified long-tail discovery evidence.","Investigate 4 evidence-unresolved candidates, verify the one-panel and company-lead long tail, then complete design coding and census-level stopping tests.",65,39,65,65,0,0,0,65,65,complete_for_current_inventory,37,10,8,1,0,28,0
working_initial_release,29-1224.00,Radiologists,RAD-02,Plan and perform image-guided procedures and manage procedural care,US first wave; separately documented foreign calibration rows may exist,English,active_search,2,2,2,2,0,0,,,0,blinded review completed for the 64-candidate P1 multisource tier; no census-level recall estimate yet,not_run,not_saturated,No comprehensive current-product claim; counts reflect live calibration rows and explicitly labeled provisional staging only.,"The multisource tier and its persistent-product identities are adjudicated, but one-panel candidates, unmatched directories, and exhibitor company leads remain unverified long-tail discovery evidence.","Investigate 4 evidence-unresolved candidates, verify the one-panel and company-lead long tail, then complete design coding and census-level stopping tests.",2,2,2,2,0,0,0,2,2,complete_for_current_inventory,23,7,2,0,0,21,0
working_initial_release,29-1224.00,Radiologists,RAD-03,Plan and deliver nuclear medicine diagnosis or therapy,US first wave; separately documented foreign calibration rows may exist,English,active_search,3,3,3,3,1,1,company_archive,,0,blinded review completed for the 64-candidate P1 multisource tier; no census-level recall estimate yet,not_run,not_saturated,No comprehensive current-product claim; counts reflect live calibration rows and explicitly labeled provisional staging only.,"The multisource tier and its persistent-product identities are adjudicated, but one-panel candidates, unmatched directories, and exhibitor company leads remain unverified long-tail discovery evidence.","Investigate 4 evidence-unresolved candidates, verify the one-panel and company-lead long tail, then complete design coding and census-level stopping tests.",3,3,3,3,0,0,0,3,3,complete_for_current_inventory,13,9,2,1,0,10,0
working_initial_release,47-2031.00,Carpenters,CAN-47-2031-01,Plan and coordinate project work,US first wave; separately documented foreign calibration rows may exist,English,active_search,4,4,5,0,17,6,application_marketplace|cloud_marketplace|incumbent_provider_archive|industry_awards|industry_ecosystem|web_query_matrix,0,0,not_estimated,not_run,not_saturated,No comprehensive current-product claim; counts reflect live calibration rows and explicitly labeled provisional staging only.,Structured marketplace/exhibitor panels not enumerated to an accessible end; independent holdout and cold-start challenge not completed; unresolved high-salience leads remain.,"Complete panel end-enumeration where accessible, resolve high-salience leads, run independent holdout and cold-start challenge, then assess stopping rules. Then complete independently reviewed product-design coding.",7,6,8,8,0,0,0,7,7,complete_for_current_inventory,11,17,9,1,1,0,0
working_initial_release,47-2031.00,Carpenters,CAN-47-2031-02,"Construct, install, and restore permanent components",US first wave; separately documented foreign calibration rows may exist,English,active_search,2,2,1,0,17,6,application_marketplace|cloud_marketplace|incumbent_provider_archive|industry_awards|industry_ecosystem|web_query_matrix,1,1,not_estimated,not_run,not_saturated,No comprehensive current-product claim; counts reflect live calibration rows and explicitly labeled provisional staging only.,Structured marketplace/exhibitor panels not enumerated to an accessible end; independent holdout and cold-start challenge not completed; unresolved high-salience leads remain.,"Complete panel end-enumeration where accessible, resolve high-salience leads, run independent holdout and cold-start challenge, then assess stopping rules. Then complete independently reviewed product-design coding.",2,2,2,2,0,0,0,2,2,complete_for_current_inventory,6,17,2,2,1,1,0
