occupation_soc_code,occupation_name,job_role_name,industry_group,job_role_definition,bls_soc_code,employment_count,employment_count_reference_year,median_wage,median_wage_reference_year,education_most_common_level,education_data_date,acquire_scope,interpret_scope,decide_scope,act_scope,acquire_weight,interpret_weight,decide_weight,act_weight,acquire_rating,interpret_rating,decide_rating,act_rating,overall_ai_capability_rating,product_with_highest_autonomy_rating,gap_between_highest_and_capability,average_autonomy_all_products,gap_between_average_and_capability,median_autonomy_all_products,gap_between_median_and_capability,total_products,acquire_confidence,interpret_confidence,decide_confidence,act_confidence,review_flag,employment_rank,top_200_employment_occupation
13-2011.00,Accountants and Auditors,Accountants,"Finance, Insurance, Real Estate, & Leasing","Accountants maintain and evaluate financial records to prepare reports, determine tax obligations, analyze financial performance, advise stakeholders, and establish accounting systems.",13-2011,1579800,2024,83680,2025,,,"Obtain and organize transaction records, account balances, asset and liability data, budgets, operational information, and applicable reporting or tax requirements.","Reconcile and evaluate records and business data to identify inaccuracies, discrepancies, financial condition, trends, obligations, conformity, and required reporting conclusions.","Select account classifications, adjustments, discrepancy resolutions, tax treatment, forecasts, accounting-system changes, and financial recommendations.","Record selected adjustments, resolve identified discrepancies, prepare compliant financial and tax reports, communicate selected advice, and implement accounting-system changes.",20,30,20,30,3.5,3,2.4,2.8,2.92,2.0,0.92,1.496,1.424,1.5,1.42,187,3,3,2.8,2.8,False,18,True
13-2011.00,Accountants and Auditors,Auditors,"Finance, Insurance, Real Estate, & Leasing","Auditors examine financial, operational, compliance, and information-system evidence to evaluate records, controls, and activities and report findings and recommended improvements.",13-2011,1579800,2024,83680,2025,,,"Obtain records, system and transaction data, physical evidence, criteria, and explanations through selected interviews, observations, reconciliations, confirmations, and test procedures.","Analyze records, controls, systems, interviews, and test results to identify discrepancies, fraud indicators, noncompliance, inefficiency, and findings about accuracy, control effectiveness, and reliability.","Set audit scope and testing priorities and select recommendations for control, operational, or financial improvements.","Issue audit reports and communicate established findings, conclusions, selected recommendations, and required follow-up to management, officials, or audited parties.",30,35,15,20,2.3,3,3,3.9,2.97,2.0,0.97,1.673,1.297,1.65,1.32,110,2.8,3,2.3,2.3,False,18,True
27-2011.00,Actors,Actors,"Leisure, Hospitality, & Other","Interpret and perform characters or material through speech, movement, and related performance skills to entertain, inform, or instruct audiences.",27-2011,57000,2024,,,Less than a High School Diploma,2017-07-01,"Study scripts, characters, relationships, direction, cues, and performance requirements, and rehearse the speech, movement, music, dance, stunts, and other skills needed for the material.","Develop a coherent understanding of characters, emotions, actions, situations, and material in relation to the production and ensemble.","Select the portrayal, delivery, expressive techniques, and coordinated performance choices most suited to the role or material.","Perform characters or material through speech, movement, expression, narration, music, dance, comedy, stunts, illusion, puppetry, or event presentation to entertain, inform, or instruct audiences.",20,25,15,40,2.2,3.0,3.0,2.0,2.44,1.4,1.04,1.3,1.14,1.4,1.04,4,3.0,2.0,2.0,3.0,False,397,False
15-2011.00,Actuaries,Actuaries,Professional & Business Services,"Analyze risk and financial uncertainty to design, price, evaluate, and advise on insurance, pension, investment, and related financial obligations.",15-2011,33600,2024,130000,2025,Bachelor's Degree,2023-08-01,"Assemble actuarial, financial, contract, claims, credit, investment, and regulatory data needed to evaluate uncertain obligations and exposures.","Analyze experience and financial information to estimate event rates, model probabilities, assess risk and solvency, and evaluate credit and investment outcomes.","Set premiums, reserves, liabilities, plan and contract provisions, surplus allocations, risk-management approaches, and reinsurance or security-pricing terms.","Design, review, and help administer financial-risk products and plans, negotiate applicable terms, and communicate technical conclusions and advice to clients and stakeholders.",20,35,30,15,3.0,3.0,2.1,2.0,2.58,2.0,0.58,1.71,0.87,1.7,0.88,5,3.0,3.0,2.8,2.9,False,495,False
29-1291.00,Acupuncturists,Acupuncturists,Healthcare & Social Assistance,Diagnose and treat patients using acupuncture and related traditional East Asian therapeutic modalities to promote or maintain health.,29-1291,15300,2024,76040,2025,Master's Degree,2025-08-01,"Obtain patients’ medical, health, lifestyle, physical-observation, and relevant conventional-care information needed to assess conditions and treatment precautions.","Evaluate histories, physical findings, anatomy, contraindications, and treatment responses to diagnose according to traditional East Asian medicine and assess progress.","Select individualized treatment strategies, point locations, traditional modalities, herbal preparations, referrals, and treatment changes appropriate to each patient.","Safely deliver acupuncture and related traditional East Asian treatments, dispense prescribed herbal formulas with use instructions, and provide patient health education.",15,25,20,40,3.0,2.6,2.5,2.0,2.4,1.45,0.95,1.31,1.09,1.45,0.95,5,2.8,2.3,2.4,2.7,False,646,False
29-1141.01,Acute Care Nurses,Acute Care Nurses,Healthcare & Social Assistance,"Provide advanced nursing assessment, stabilization, treatment, monitoring, and care coordination for patients with acute or life-threatening conditions.",29-1141,3391000,2024,97550,2025,Bachelor's Degree,2025-08-01,"Obtain and continuously assemble physiologic, technological, diagnostic, specimen, symptom, response, and patient-family needs information required for acute care.","Assess and diagnose acute instability by interpreting clinical findings, diagnostic studies, age-related changes, illness impacts, and treatment risks and responses.","Set treatment, monitoring, diagnostic, device-adjustment, medication, consultation, referral, and transition plans and modify them as patient conditions change.","Stabilize, treat, monitor, and document care for acutely ill patients through emergency procedures, therapies, infusions, wound care, device operation, patient-family communication, and coordinated admissions, transfers, discharges, and follow-up.",24,24,17,35,2.5,2.1,2.1,1.9,2.126,1.41,0.716,1.351,0.775,1.35,0.776,7,3.0,3.0,3.0,3.0,False,5,True
25-2059.01,Adapted Physical Education Specialists,Adapted Physical Education Specialists,Government & Public Sector,Provide individualized adapted physical education instruction and services that develop the physical and motor abilities of people with disabilities or exceptional physical needs.,25-2059,41000,2024,76580,2025,Bachelor's Degree,2020-08-01,"Gather student motor, physical, functional, behavioral, and progress information; relevant education-plan requirements; and the instructional equipment and materials needed to provide services.","Evaluate the collected information to characterize each student's physical abilities, disabilities, progress, and adapted physical education needs.","Determine eligibility, placement, accommodations, individualized goals, lesson plans, instructional adaptations, and inclusive activity arrangements consistent with applicable requirements.","Deliver individualized and small-group adapted physical education instruction and services, maintain safe learning conditions, encourage participation, coordinate with educational personnel, and communicate and document student progress.",12,15,18,55,2.7,2.2,2.0,2.0,2.114,1.88,0.234,1.382,0.732,1.33,0.784,5,2.9,2.8,2.9,3.0,False,454,False
51-9191.00,Adhesive Bonding Machine Operators and Tenders,Adhesive Bonding Machine Operators and Tenders,Manufacturing,Operate or tend adhesive bonding machines to join materials into components or finished products that meet production specifications.,51-9191,12200,2024,46460,2025,"High School Diploma - or the equivalent (for example, GED)",2015-07-01,"Obtain production specifications, prepare and replenish adhesives, and load, position, and align materials while gathering operating readings and product measurements.","Assess machine condition and product conformance from test runs, gauges, control displays, and completed-product measurements.","Determine required machine settings, process adjustments, and corrective responses to maintain specified bonding quality and production flow.","Set up, operate, adjust, and maintain bonding equipment to apply adhesive or heat sealing, resolve jams or malfunctions, and deliver completed bonded materials or products.",25,10,10,55,3.3,3.9,3.1,2.3,2.79,1.65,1.14,1.1,1.69,1.1,1.69,4,2.6,3.0,2.1,2.7,False,688,False
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers","Administrative Law Judges, Adjudicators, and Hearing Officers",Government & Public Sector,"Conduct administrative hearings and make or recommend decisions on government-related claims, liabilities, sanctions, penalties, and settlements.",23-1021,17500,2024,117860,2025,Doctoral Degree,2020-08-01,"Obtain and assemble the case record through document review, legal and precedent research, communications with involved parties, and formally elicited hearing evidence.","Evaluate the evidence and procedural record in light of applicable laws, regulations, policies, and precedents to reach case-relevant conclusions.","Determine liability, claim validity, payment method, settlements, and procedural evidentiary rulings, including recommendations where required.","Conduct and direct fair hearings, issue required subpoenas and oaths, prepare and communicate written rulings and appeal information, and authorize valid claim payments.",20,30,25,25,2.9,2.1,2.1,2.0,2.235,2.0,0.235,1.786,0.449,1.75,0.485,7,2.8,3.0,2.9,2.7,False,622,False
11-3012.00,Administrative Services Managers,Administrative Services Managers,Professional & Business Services,"Plan, direct, and coordinate an organization's administrative support services, staff, resources, and operating procedures.",11-3012,271200,2024,114130,2025,"High School Diploma - or the equivalent (for example, GED)",2017-07-01,"Collect and review operational reports, schedules, records, contracts, regulations, and departmental resource and service needs to inform administration.","Assess operational performance, process efficiency, compliance requirements, and administrative staffing, resource, and space needs.","Set administrative goals, deadlines, budgets, standards, procedures, work schedules, staffing actions, and vendor-service priorities.","Direct administrative support operations by coordinating staff and vendors, administering resources and records, implementing procedural changes, and training personnel.",20,20,30,30,3.6,2.9,2.4,2.4,2.74,1.7,1.04,1.438,1.303,1.5,1.24,8,2.9,2.3,2.6,2.3,False,143,True
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",Adult Basic and Secondary Education Instructor,Government & Public Sector,"Teach foundational academic, literacy, life, workforce-entry, and high-school-equivalency skills to adults and out-of-school youths.",25-3011,40900,2024,61540,2025,Bachelor's Degree,2018-08-01,"Gather learner intake, ability, interest, limitation, progress, and performance evidence; obtain curriculum-aligned content, materials, and accessibility supports needed for instruction.","Assess learner needs and progress and evaluate instructional content, methods, and assessments to identify strengths, gaps, and needed improvements.","Set learning objectives and select, adapt, sequence, or revise instructional, remedial, and support approaches for individual learners and classes.","Teach and guide adults and out-of-school youths through individual and group lessons, practice, assessments, feedback, counseling, structured learning activities, and high-school-equivalency preparation.",20,20,25,35,3.3,3.0,3.0,2.2,2.78,1.8,0.98,1.758,1.022,1.8,0.98,6,2.9,2.8,2.0,2.8,False,455,False
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",English as a Second Language Instructor,Government & Public Sector,"Teach English-language skills to adult and out-of-school youth learners for communication, further education, and workforce participation.",25-3011,40900,2024,61540,2025,Bachelor's Degree,2018-08-01,"Gather learner intake, observations, completed work, assessment responses, curriculum requirements, and accessible instructional materials needed to teach English-language skills.","Assess learners’ language abilities, progress, interests, limitations, and academic needs, and evaluate instructional results to identify strengths, gaps, and needed changes.","Set learning objectives and select, sequence, adapt, or revise instruction, assessments, remedial support, learning guidance, and classroom procedures for learners’ needs.","Prepare and deliver individual and group English-language instruction, learning activities, assessments, feedback, supportive access, and guidance that advance communication, further education, and workforce participation.",15,20,25,40,3.3,3.0,3.0,2.5,2.845,1.85,0.995,1.671,1.174,1.6,1.245,7,2.9,2.4,2.1,2.5,False,455,False
29-1141.02,Advanced Practice Psychiatric Nurses,Advanced Practice Psychiatric Nurses,Healthcare & Social Assistance,"Assess, diagnose, and treat mental health and substance use disorders through psychiatric care, including psychotherapy and medication management.",29-1141,3391000,2024,97550,2025,Master's Degree,2023-08-01,"Gather psychiatric, behavioral, medical, medication-use, physical-screening, laboratory, history, and care-team information needed to assess each patient.","Evaluate the collected information to assess mental and physical status, distinguish psychiatric from physiological conditions, diagnose mental health and substance use disorders, and judge treatment response.","Select individualized psychiatric treatment plans, medication regimens, referrals, and coordinated responses for routine, complex, or crisis care.","Deliver psychiatric care through psychotherapy, prescribing or administering medications, treatment-plan implementation, patient and family education, care coordination, and required clinical documentation.",25,25,20,30,2.5,2.1,2.0,2.0,2.15,1.75,0.4,1.613,0.538,1.7,0.45,4,3.0,2.9,3.0,3.0,False,5,True
41-3011.00,Advertising Sales Agents,Advertising Sales Agents,Professional & Business Services,"Sell advertising space, time, and media solutions by developing client accounts and guiding advertising purchases from proposal through contract and delivery.",41-3011,103700,2024,64820,2025,Bachelor's Degree,2018-08-01,"Develop and maintain client and prospect accounts by obtaining information on their businesses, needs, advertising history, budgets, available media options, costs, artwork choices, and bid requirements.","Assess client needs, advertising-market opportunities, and the fit of media, formats, artwork, and promotional approaches to determine how advertising can effectively promote the client’s offering.","Select and recommend the advertising solution, including medium, size, format, promotional plan, pricing estimate, and proposed product or market approach.","Present and sell advertising proposals; prepare copy, samples, promotional materials, bids, contracts, and account documentation; secure approvals and payments; and coordinate delivery activities including production sessions.",23,18,21,38,3.0,3.0,3.0,2.3,2.734,2.0,0.734,1.772,0.962,1.62,1.114,5,2.9,2.3,2.1,2.5,False,283,False
11-2011.00,Advertising and Promotions Managers,Advertising Manager,Professional & Business Services,"Direct advertising strategy, creative development, media placement, account activity, and campaign performance to promote products or services.",11-2011,27000,2024,133660,2025,Bachelor's Degree,2018-08-01,"Gather consumer, market, product, account, cost, media, and campaign-response inputs needed to plan and evaluate advertising campaigns.","Analyze audience and sales trends, campaign and channel effectiveness, projected conditions, and creative-material compliance to form campaign assessments.","Set advertising strategy, creative direction, media choices, campaign priorities, budgets, and account and contractual terms.","Direct the development, coordination, placement, and delivery of advertising campaigns and related account activity, including leading the campaign team.",18,22,25,35,3.7,3.0,2.3,2.3,2.706,2.0,0.706,1.888,0.819,1.82,0.886,8,2.8,3.0,2.8,2.7,False,537,False
11-2011.00,Advertising and Promotions Managers,Promotions Manager,Professional & Business Services,"Direct promotional programs, incentives, events, partnerships, and outreach designed to stimulate interest in products or services.",11-2011,27000,2024,133660,2025,Bachelor's Degree,2018-08-01,"Gather market, consumer, sales, cost, response, regulatory, and prospective partner information needed to develop and evaluate promotional programs.","Analyze audience and market conditions, campaign results, channel effectiveness, and budget performance to identify target audiences and assess promotional opportunities and cost effectiveness.","Set promotional objectives, strategies, incentives, media and communication approaches, partnerships, budgets, priorities, and performance targets.","Direct and coordinate promotional programs, campaign teams, communications, events, outreach, demonstrations, and partner participation to stimulate interest in products or services.",20,20,25,35,3.1,3.0,2.4,2.1,2.555,2.0,0.555,1.838,0.718,1.8,0.755,8,2.8,2.9,2.7,2.8,False,537,False
17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,Aerospace Engineering and Operations Technologists and Technicians,Manufacturing,"Operate, configure, maintain, and support aerospace testing and instrumentation systems to evaluate vehicle, component, and system performance and readiness.",17-3021,9300,2024,82890,2025,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",2019-08-01,"Obtain evaluation requirements and generate recorded performance, readiness, and equipment-condition evidence through calibrated measurements, simulated-condition tests, checkouts, and inspections.","Analyze evaluation data and equipment observations to determine vehicle, component, and system performance, readiness, malfunctions, and result implications.","Select data-acquisition plans, evaluation parameters, setup configurations, and corrective actions needed to satisfy evaluation requirements.","Configure and calibrate evaluation equipment; fabricate, install, maintain, repair, adjust, and remove test hardware and instrumentation; and communicate findings to engineering personnel.",30,15,15,40,3.0,3.0,2.5,2.0,2.525,1.6,0.925,1.39,1.135,1.45,1.075,5,2.8,2.9,2.4,3.0,False,719,False
17-2011.00,Aerospace Engineers,Aerospace Engineers,Manufacturing,"Design, analyze, test, and improve aircraft, missiles, spacecraft, and related aerospace systems to satisfy engineering, customer, quality, and regulatory requirements.",17-2011,71600,2024,134960,2025,Bachelor's Degree,2015-07-01,"Obtain customer, engineering, quality, regulatory, environmental, cost, schedule, operational, inspection, test, field-performance, and materials-performance inputs for aerospace-system work.","Model, analyze, inspect, test, and diagnose aerospace-system designs and performance to assess feasibility, producibility, conformance, emissions, and technical problems.","Set design and test criteria and select system concepts, modifications, technical-problem resolutions, development priorities, and suitable external sources when required.","Design, engineer, modify, validate, document, and coordinate development of aircraft, missiles, spacecraft, and related systems to meet specified requirements.",15,30,20,35,2.8,2.6,2.0,2.0,2.3,1.85,0.45,1.6,0.7,1.65,0.65,5,2.9,2.8,3.0,3.0,False,354,False
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes","Business Manager for Artists, Performers, and Athletes","Leisure, Hospitality, & Other",Manage clients' business and financial affairs in support of their professional careers.,13-1011,21400,2024,82890,2025,Bachelor's Degree,2020-08-01,"Gather client goals, financial records, contract terms, and logistical, market, and performance-support information needed to manage professional affairs.","Assess the client's financial position, contractual obligations, career circumstances, and legal and tax considerations to derive account status and business implications.","Select career, financial, and business strategies and priorities, including arrangements, promotion, and professional support.","Execute client business and financial management by completing transactions and arrangements, engaging service providers, directing promotional work, issuing accounting statements and advice, and reporting actions to clients.",20,25,20,35,3.0,2.5,2.0,2.2,2.395,1.6,0.795,1.563,0.833,1.6,0.795,4,3.0,2.9,3.0,2.7,False,582,False
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",Talent Agent,"Leisure, Hospitality, & Other",Represent and promote clients to secure opportunities and negotiate favorable engagement terms.,13-1011,21400,2024,82890,2025,Bachelor's Degree,2020-08-01,"Gather client work samples, audition and interview information, industry opportunities and deal trends, stakeholder contacts, and engagement-condition details.","Assess prospective clients, market conditions, opportunity fit, and venue or accommodation compliance with client requirements.","Set client career strategies and select pursuit priorities, engagement arrangements, and contractual positions.","Promote and represent clients, cultivate industry relationships, secure and schedule engagements, negotiate terms and obligations, coordinate client-related meetings, and collect contractually due payments.",20,15,20,45,3.2,2.7,2.0,2.0,2.345,1.85,0.495,1.65,0.695,1.65,0.695,3,2.7,2.4,3.0,3.0,False,582,False
17-2021.00,Agricultural Engineers,Agricultural Engineers,Manufacturing,"Apply engineering and biological-science knowledge to design, evaluate, and oversee agricultural equipment, structures, infrastructure, processing systems, and environmental solutions.",17-2021,1700,2024,98590,2025,Bachelor's Degree,2024-08-01,"Elicit client and operational needs and gather site observations, environmental and water-resource conditions, construction information, and equipment-performance measurements.","Assess those inputs to determine agricultural system requirements, machinery performance, and environmental, soil, water, and land-reclamation implications.","Select feasible designs, specifications, budgets, and implementation approaches for agricultural equipment, structures, infrastructure, processing systems, and environmental solutions.","Produce engineering designs and technical documentation, provide applicable resource-management guidance, and direct or oversee construction, installation, reclamation, and processing-system operations.",20,24,21,35,2.6,2.9,2.6,2.0,2.462,1.8,0.662,1.52,0.942,1.52,0.942,2,2.8,2.6,2.6,3.0,False,818,False
45-2091.00,Agricultural Equipment Operators,Agricultural Equipment Operators,"Leisure, Hospitality, & Other","Operate, set up, maintain, and support farm machinery and related equipment used to produce, handle, and process agricultural products.",45-2091,65200,2024,41730,2025,Less than a High School Diploma,2019-08-01,"Prepare machinery and implements and supply it with crops, seed, chemicals, water, and other agricultural materials while obtaining operating-condition and product-quality observations.","Assess machinery behavior for malfunctions and identify diseased, rotten, or otherwise unsuitable products during handling or processing.","Determine equipment settings, operating adjustments, maintenance or repair responses, material flow, and disposition of unsuitable products needed for the work.","Operate, tend, adjust, attach, service, and repair farm machinery and related equipment to plant, irrigate, fertilize, protect, harvest, handle, process, and transport agricultural products and materials.",24,11,15,50,2.6,3.1,2.8,2.1,2.435,2.0,0.435,1.75,0.685,1.75,0.685,4,2.6,2.9,2.3,3.0,False,373,False
45-2011.00,Agricultural Inspectors,Agricultural Commodity Grader,"Leisure, Hospitality, & Other","Evaluate and officially certify the grade, quality, and weight of agricultural commodities.",45-2011,14700,2024,49940,2025,"High School Diploma - or the equivalent (for example, GED)",2013-07-01,"Inspect, weigh, and measure agricultural commodities and observe company employees’ grading work to obtain condition, measurement, and process evidence.","Apply grading standards to the commodity and observed grading evidence to establish quality characteristics, grade, weight, and conformance findings.",Select whether the commodity and associated company grading warrant official certification.,"Label and seal graded products and issue official certificates documenting the certified grade, quality, and weight.",40,30,5,25,3.1,3.0,3.2,3.8,3.25,2.0,1.25,1.6,1.65,1.55,1.7,4,2.9,2.8,2.0,2.8,False,659,False
45-2011.00,Agricultural Inspectors,Agricultural Regulatory Inspector,"Leisure, Hospitality, & Other","Inspect agricultural products, facilities, and operations to enforce health, quality, and safety requirements.",45-2011,14700,2024,49940,2025,"High School Diploma - or the equivalent (for example, GED)",2013-07-01,"Inspect agricultural products, facilities, handling, processing, sanitation, employee practices, and operations, and collect or obtain samples and recipe information needed to assess compliance.","Evaluate inspection observations, test results, product formulas, and operating conditions against health, quality, safety, and regulatory requirements to determine safety, acceptability, and compliance.","Determine required corrective measures, compliance dispositions, and when compromised safety warrants emergency restrictions or facility closure.","Enforce applicable requirements by documenting findings and recommendations, advising regulated parties on corrective action and standards, and carrying out necessary emergency enforcement actions.",30,25,20,25,2.1,3.0,2.4,2.0,2.36,1.55,0.81,1.55,0.81,1.55,0.81,1,3.0,2.8,2.6,3.0,False,659,False
