product_task_assessment_id,company_id,company_name,product_id,product_name,product_ai_release_id,product_date_assessed,product_configuration_assessed,product_task_coverage,supported_case_scope,product_task_relationship,primary_user_role,occupation_soc_code,occupation_name,canonical_task_set_version,canonical_task_id,canonical_task_name,task_scope_version,jurisdiction_code,capability_date_assessed,capability_protocol_version,acquire_product_autonomy_rating,interpret_product_autonomy_rating,decide_product_autonomy_rating,act_product_autonomy_rating,acquire_ai_capability,interpret_ai_capability,decide_ai_capability,act_ai_capability,acquire_gap,interpret_gap,decide_gap,act_gap,signoff_date_assessed,signoff_applicability_scope,acquire_formal_signoff_status,interpret_formal_signoff_status,decide_formal_signoff_status,act_formal_signoff_status,signoff_reason_codes,product_assessment_status,capability_assessment_status,signoff_assessment_status,gap_assessment_status
pta_w10w11_20260820_swd_airtable_can_11_1021_01,airtable,Airtable,airtable_prod,Airtable,,2026-08-20,"Airtable, current documented U.S. configuration as of 2026-08-20: Omni AI and field agents that research, analyze, create, update, and coordinate work inside operational applications. Assessed mode: the highest-authority current mode actually described on the cited exact-product or workflow page; no hypothetical integration is added. Human role in this bounded mode: people configure goals, permissions, data sources, and approval points and routinely review consequential outputs. Assessment retains the full frozen task and is limited to: Omni AI and field agents that research, analyze, create, update, and coordinate work inside operational applications. This is a direct documented contribution to 'Direct and coordinate organizational strategy and operations'.",broad_task,"Omni AI and field agents that research, analyze, create, update, and coordinate work inside operational applications. This is a direct documented contribution to 'Direct and coordinate organizational strategy and operations'.",occupation_worker_tool,Operations or administrative team,11-1021.00,General and Operations Managers,expansion-1.1-reviewed,CAN-11-1021-01,Direct and coordinate organizational strategy and operations,scope-expansion-1.1,US,2026-08-19,0.7,3,3,3,3,2,2,2,2,-1,-1,-1,-1,2026-08-19,U.S. general and operations management. Distinct role-bound endpoints such as SEC periodic-report certification by principal executive and financial officers and federal contract award by warranted contracting officers are outside this frozen general-management task; employer-specific approval policies and state or local rules require separate rows.,not_required,not_required,not_required,not_required,,calibration_draft,final,final,interpretable
pta_w10w11_20260820_w10_anaplan_anaplan_platform_can_11_1021_01,anaplan,Anaplan,anaplan_platform_prod,Anaplan Platform,,2026-08-20,"Anaplan Platform, current documented U.S. configuration as of 2026-08-20: Connected planning platform with CoPlanner generative AI for contextual analysis, scenarios, recommendations, and planning workflows. Assessed mode: the highest-authority current mode actually described on the cited exact-product or workflow page; no hypothetical integration is added. Human role in this bounded mode: workers connect or supply governing records, integrate the analysis, make binding choices, and release or implement the result. Assessment retains the full frozen task and is limited to: Connected planning platform with CoPlanner generative AI for contextual analysis, scenarios, recommendations, and planning workflows. This is a direct documented contribution to 'Direct and coordinate organizational strategy and operations'.",broad_task,"Connected planning platform with CoPlanner generative AI for contextual analysis, scenarios, recommendations, and planning workflows. This is a direct documented contribution to 'Direct and coordinate organizational strategy and operations'.",occupation_worker_tool,"Operations, planning, or supply-chain team",11-1021.00,General and Operations Managers,expansion-1.1-reviewed,CAN-11-1021-01,Direct and coordinate organizational strategy and operations,scope-expansion-1.1,US,2026-08-19,0.7,2,2,2,2,2,2,2,2,0,0,0,0,2026-08-19,U.S. general and operations management. Distinct role-bound endpoints such as SEC periodic-report certification by principal executive and financial officers and federal contract award by warranted contracting officers are outside this frozen general-management task; employer-specific approval policies and state or local rules require separate rows.,not_required,not_required,not_required,not_required,,calibration_draft,final,final,interpretable
pta_w10w11_20260820_asana_ai_studio_can_11_1021_01,asana,Asana,asana_ai_studio_prod,Asana AI Studio,rel_asana_ai_studio_20241022,2026-08-20,"Asana AI Studio Smart workflow configured with approval tasks at strategic, resource, and publication checkpoints, as documented in the current human-in-the-loop guide.",broad_task,"Configurable AI teammates that triage, plan, coordinate, monitor, and report work using organizational context. This is a direct documented contribution to 'Direct and coordinate organizational strategy and operations'.",occupation_worker_tool,"Operations, program, or administrative team",11-1021.00,General and Operations Managers,expansion-1.1-reviewed,CAN-11-1021-01,Direct and coordinate organizational strategy and operations,scope-expansion-1.1,US,2026-08-19,0.7,4,3,3,3,2,2,2,2,-2,-1,-1,-1,2026-08-19,U.S. general and operations management. Distinct role-bound endpoints such as SEC periodic-report certification by principal executive and financial officers and federal contract award by warranted contracting officers are outside this frozen general-management task; employer-specific approval policies and state or local rules require separate rows.,not_required,not_required,not_required,not_required,,calibration_draft,final,final,interpretable
pta_w10w11_20260820_w10_board_international_board_enterprise_planning_platform_can_11_1021_01,board_international,Board International,board_enterprise_planning_platform_prod,Board Enterprise Planning Platform,,2026-08-20,"Board Enterprise Planning Platform, current documented U.S. configuration as of 2026-08-20: AI-enabled enterprise planning platform spanning strategy, finance, operations, scenarios, and supply-chain decisions. Assessed mode: the highest-authority current mode actually described on the cited exact-product or workflow page; no hypothetical integration is added. Human role in this bounded mode: workers connect or supply governing records, integrate the analysis, make binding choices, and release or implement the result. Assessment retains the full frozen task and is limited to: AI-enabled enterprise planning platform spanning strategy, finance, operations, scenarios, and supply-chain decisions. This is a direct documented contribution to 'Direct and coordinate organizational strategy and operations'.",broad_task,"AI-enabled enterprise planning platform spanning strategy, finance, operations, scenarios, and supply-chain decisions. This is a direct documented contribution to 'Direct and coordinate organizational strategy and operations'.",occupation_worker_tool,Enterprise planning or supply-chain team,11-1021.00,General and Operations Managers,expansion-1.1-reviewed,CAN-11-1021-01,Direct and coordinate organizational strategy and operations,scope-expansion-1.1,US,2026-08-19,0.7,2,2,2,2,2,2,2,2,0,0,0,0,2026-08-19,U.S. general and operations management. Distinct role-bound endpoints such as SEC periodic-report certification by principal executive and financial officers and federal contract award by warranted contracting officers are outside this frozen general-management task; employer-specific approval policies and state or local rules require separate rows.,not_required,not_required,not_required,not_required,,calibration_draft,final,final,interpretable
pta_w10w11_20260820_w10_celonis_celonis_process_intelligence_platform_can_11_1021_01,celonis,Celonis,celonis_process_intelligence_platform_prod,Celonis Process Intelligence Platform,,2026-08-20,"Celonis Process Intelligence Platform, current documented U.S. configuration as of 2026-08-20: AI-supported process intelligence that models operations, finds root causes, recommends changes, and triggers process actions. Assessed mode: the highest-authority current mode actually described on the cited exact-product or workflow page; no hypothetical integration is added. Human role in this bounded mode: planners supply and validate constraints, routinely review the generated plan, and authorize and implement it. Assessment retains the full frozen task and is limited to: AI-supported process intelligence that models operations, finds root causes, recommends changes, and triggers process actions. This is a direct documented contribution to 'Direct and coordinate organizational strategy and operations'.",broad_task,"AI-supported process intelligence that models operations, finds root causes, recommends changes, and triggers process actions. This is a direct documented contribution to 'Direct and coordinate organizational strategy and operations'.",occupation_worker_tool,Operations or supply-chain transformation team,11-1021.00,General and Operations Managers,expansion-1.1-reviewed,CAN-11-1021-01,Direct and coordinate organizational strategy and operations,scope-expansion-1.1,US,2026-08-19,0.7,2,3,3,2,2,2,2,2,0,-1,-1,0,2026-08-19,U.S. general and operations management. Distinct role-bound endpoints such as SEC periodic-report certification by principal executive and financial officers and federal contract award by warranted contracting officers are outside this frozen general-management task; employer-specific approval policies and state or local rules require separate rows.,not_required,not_required,not_required,not_required,,calibration_draft,final,final,interpretable
pta_w10w11_20260820_w10_datarails_fp_a_genius_can_11_1021_01,datarails,Datarails,datarails_ai_agents_prod,Datarails AI Agents,,2026-08-20,"FP&A Genius, current documented U.S. configuration as of 2026-08-20: Generative-AI assistant for business questions, analysis, forecasts, management reporting, and scenario exploration. Assessed mode: the highest-authority current mode actually described on the cited exact-product or workflow page; no hypothetical integration is added. Human role in this bounded mode: workers connect or supply governing records, integrate the analysis, make binding choices, and release or implement the result. Assessment retains the full frozen task and is limited to: Generative-AI assistant for business questions, analysis, forecasts, management reporting, and scenario exploration. This is a direct documented contribution to 'Direct and coordinate organizational strategy and operations'.",bounded_substantive,"Generative-AI assistant for business questions, analysis, forecasts, management reporting, and scenario exploration. This is a direct documented contribution to 'Direct and coordinate organizational strategy and operations'.",occupation_worker_tool,"Operations, finance, or planning leader",11-1021.00,General and Operations Managers,expansion-1.1-reviewed,CAN-11-1021-01,Direct and coordinate organizational strategy and operations,scope-expansion-1.1,US,2026-08-19,0.7,2,2,2,2,2,2,2,2,0,0,0,0,2026-08-19,U.S. general and operations management. Distinct role-bound endpoints such as SEC periodic-report certification by principal executive and financial officers and federal contract award by warranted contracting officers are outside this frozen general-management task; employer-specific approval policies and state or local rules require separate rows.,not_required,not_required,not_required,not_required,,calibration_draft,final,final,directional_only
pta_w10w11_20260820_acc_ibm_ibm_planning_analytics_can_11_1021_01,ibm,IBM,ibm_planning_analytics_prod,IBM Planning Analytics,,2026-08-20,"IBM Planning Analytics, current documented U.S. configuration as of 2026-08-20: AI-supported planning, forecasting, scenario analysis, reporting, and conversational exploration. Assessed mode: the highest-authority current mode actually described on the cited exact-product or workflow page; no hypothetical integration is added. Human role in this bounded mode: workers connect or supply governing records, integrate the analysis, make binding choices, and release or implement the result. Assessment retains the full frozen task and is limited to: AI-supported planning, forecasting, scenario analysis, reporting, and conversational exploration. This is a direct documented contribution to 'Direct and coordinate organizational strategy and operations'.",broad_task,"AI-supported planning, forecasting, scenario analysis, reporting, and conversational exploration. This is a direct documented contribution to 'Direct and coordinate organizational strategy and operations'.",occupation_worker_tool,"Operations, finance, or enterprise-planning team",11-1021.00,General and Operations Managers,expansion-1.1-reviewed,CAN-11-1021-01,Direct and coordinate organizational strategy and operations,scope-expansion-1.1,US,2026-08-19,0.7,2,2,2,2,2,2,2,2,0,0,0,0,2026-08-19,U.S. general and operations management. Distinct role-bound endpoints such as SEC periodic-report certification by principal executive and financial officers and federal contract award by warranted contracting officers are outside this frozen general-management task; employer-specific approval policies and state or local rules require separate rows.,not_required,not_required,not_required,not_required,,calibration_draft,final,final,interpretable
pta_microsoft_365_copilot_can_11_1021_01,microsoft,Microsoft,microsoft_365_copilot_prod,Microsoft 365 Copilot,rel_microsoft_365_copilot_20231101,2026-08-19,"Microsoft 365 Copilot enterprise work mode, grounded through Microsoft Graph and used in Chat and core Microsoft 365 apps; excludes Cowork and Frontier agents, as assessed 2026-08-19.",narrow_fragment,"Strategy/status synthesis and drafting grounded in the licensed user’s accessible Microsoft 365 emails, meetings, chats, documents, calendars, and web sources; excludes autonomous budget, staffing, supplier, facility, or operating-policy decisions.",occupation_worker_tool,General or operations manager,11-1021.00,General and Operations Managers,expansion-1.1-reviewed,CAN-11-1021-01,Direct and coordinate organizational strategy and operations,scope-expansion-1.1,US,2026-08-19,0.7,3,3,2,2,2,2,2,2,-1,-1,0,0,2026-08-19,U.S. general and operations management. Distinct role-bound endpoints such as SEC periodic-report certification by principal executive and financial officers and federal contract award by warranted contracting officers are outside this frozen general-management task; employer-specific approval policies and state or local rules require separate rows.,not_required,not_required,not_required,not_required,,calibration_draft,final,final,not_comparable
pta_v02_notion_manager,notion_labs,"Notion Labs, Inc.",notion_ai_prod,Notion AI,rel_notion_custom_agents_20260504,2026-08-20,"Notion Custom Agent (general release) with scheduled or event triggers, connected workspace sources, permitted read/write actions, and routine write confirmation disabled by the workspace administrator.",narrow_fragment,"Recurring organizational status collection, synthesis, routing, and operating-report workflows inside connected Notion workspaces and permitted integrations. Excludes broad organizational strategy, personnel authority, negotiations, and physical operations.",occupation_worker_tool,Manager or team operations owner configuring the agent.,11-1021.00,General and Operations Managers,expansion-1.1-reviewed,CAN-11-1021-01,Direct and coordinate organizational strategy and operations,scope-expansion-1.1,US,2026-08-19,0.7,4,4,4,4,2,2,2,2,-2,-2,-2,-2,2026-08-19,U.S. general and operations management. Distinct role-bound endpoints such as SEC periodic-report certification by principal executive and financial officers and federal contract award by warranted contracting officers are outside this frozen general-management task; employer-specific approval policies and state or local rules require separate rows.,not_required,not_required,not_required,not_required,,calibration_draft,final,final,not_comparable
pta_w10w11_20260820_w10_oracle_oracle_cloud_epm_can_11_1021_01,oracle,Oracle,oracle_cloud_epm_prod,Oracle Cloud EPM,,2026-08-20,"Oracle Cloud EPM, current documented U.S. configuration as of 2026-08-20: AI-enabled enterprise performance management for planning, forecasting, scenario modeling, and management decisions. Assessed mode: the highest-authority current mode actually described on the cited exact-product or workflow page; no hypothetical integration is added. Human role in this bounded mode: workers connect or supply governing records, integrate the analysis, make binding choices, and release or implement the result. Assessment retains the full frozen task and is limited to: AI-enabled enterprise performance management for planning, forecasting, scenario modeling, and management decisions. This is a direct documented contribution to 'Direct and coordinate organizational strategy and operations'.",broad_task,"AI-enabled enterprise performance management for planning, forecasting, scenario modeling, and management decisions. This is a direct documented contribution to 'Direct and coordinate organizational strategy and operations'.",occupation_worker_tool,"Operations, finance, or enterprise-planning team",11-1021.00,General and Operations Managers,expansion-1.1-reviewed,CAN-11-1021-01,Direct and coordinate organizational strategy and operations,scope-expansion-1.1,US,2026-08-19,0.7,2,2,2,2,2,2,2,2,0,0,0,0,2026-08-19,U.S. general and operations management. Distinct role-bound endpoints such as SEC periodic-report certification by principal executive and financial officers and federal contract award by warranted contracting officers are outside this frozen general-management task; employer-specific approval policies and state or local rules require separate rows.,not_required,not_required,not_required,not_required,,calibration_draft,final,final,interpretable
